"","type","cov.M_Ero","cov.X_Ero","cov.F_Ero","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social","mean","th"
"M_Ero","raw",0,0.0263536165282345,-0.0342596415542525,0.00345552932311238,0.0877380707964819,-0.0251123638574293,-0.0137379892295486,0.0394329567063559,0,0
"X_Ero","raw",0.0263536165282345,0,-0.0139162177527484,-0.0698897643284728,0.0223534906713425,0.0473059656439662,-0.00681902119420312,0.0479516633640022,0,0
"F_Ero","raw",-0.0342596415542525,-0.0139162177527485,0,0.071258305025552,-0.103282718669024,-0.0237908750368276,0.0227381106735354,-0.0851814041449114,0,0
"Inactive","raw",0.00345552932311238,-0.0698897643284728,0.071258305025552,0,-1.61314442137517e-07,-2.47353648674675e-09,-4.55239373753358e-07,-1.38173722463719e-07,0,0
"Education","raw",0.0877380707964819,0.0223534906713425,-0.103282718669024,-1.61314442137517e-07,0,1.05241802006439e-06,-1.92056671427521e-06,-2.72503043019512e-07,0,0
"Work","raw",-0.0251123638574293,0.0473059656439662,-0.0237908750368276,-2.47353648674675e-09,1.05241802006439e-06,0,-1.30367598161207e-07,7.84033048484289e-08,0,0
"Gym","raw",-0.0137379892295486,-0.00681902119420312,0.0227381106735354,-4.55239373753358e-07,-1.92056671427521e-06,-1.30367598161207e-07,0,-8.47074768439704e-07,0,0
"Social","raw",0.0394329567063559,0.0479516633640022,-0.0851814041449114,-1.38173722463719e-07,-2.72503043019512e-07,7.84033048484289e-08,-8.47074768439704e-07,0,0,0
