"","CronbachsAlpha","McDondaldsOmega"
"Masculine",0.294339622641509,0.305099241411085
"Androgynous",0.0618466077637541,0.319298568977975
"Feminine",0.235537659028013,0.260387643285892
"Attraction",0.605053010875287,0.651157972628262
"Romanticism",0.733503555364221,0.763710924505127
"Eroticism",0.683568439822743,0.696471873944453
"Relationship",0.249458667895222,0.267196520356902
"Intimacy",0.174949378073474,0.209304426412098
