"","type","cov.M_Rom","cov.X_Rom","cov.F_Rom","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social","mean","th"
"M_Rom","raw",0,-0.000180327984189876,-0.00191768646264512,0.0164858829370093,0.0176997838919409,-0.024006404819902,-0.00136605717824086,0.0421985894284921,0,0
"X_Rom","raw",-0.000180327984189876,0,0.00221415677141568,-0.0546744895003324,0.0355273363884574,0.0310569717932615,-0.034794385786466,0.0200886088659502,0,0
"F_Rom","raw",-0.00191768646264512,0.00221415677141568,0,0.0245139403259043,-0.0476610697982105,0.00138029689848103,0.0277074958726095,-0.0606380739278486,0,0
"Inactive","raw",0.0164858829370093,-0.0546744895003324,0.0245139403259043,0,-7.88238418980569e-08,-1.86686166525618e-09,-1.42381051948526e-07,-2.13121244652115e-07,0,0
"Education","raw",0.0176997838919409,0.0355273363884574,-0.0476610697982105,-7.88238418980569e-08,0,-5.76773240279493e-10,7.38181921505765e-07,4.10770055248033e-07,0,0
"Work","raw",-0.024006404819902,0.0310569717932615,0.00138029689848103,-1.86686166525618e-09,-5.76773240279493e-10,0,-1.20472061215793e-08,-7.11482412707465e-08,0,0
"Gym","raw",-0.00136605717824086,-0.034794385786466,0.0277074958726095,-1.42381051948526e-07,7.38181921505765e-07,-1.20472061215793e-08,0,1.31055738705754e-07,0,0
"Social","raw",0.0421985894284921,0.0200886088659502,-0.0606380739278486,-2.13121244652115e-07,4.10770055248033e-07,-7.11482412707465e-08,1.31055738705754e-07,0,0,0
