"","type","cov.M_Atr","cov.X_Atr","cov.F_Atr","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social","mean","th"
"M_Atr","raw",0,-0.0134056587513287,0.00329959253720302,0.0299729352193798,-0.0811568011225474,-0.0438594850528935,0.0335682633200659,0.0494727539559666,0,0
"X_Atr","raw",-0.0134056587513287,0,-0.00246784461842497,0.0105249641475703,0.0229082197692575,0.029670496194057,-0.156535806512045,0.151845106501301,0,0
"F_Atr","raw",0.00329959253720302,-0.00246784461842497,0,-0.0342202041204167,0.068933043730574,0.030490203333619,0.0360601280568972,-0.157216838765679,0,0
"Inactive","raw",0.0299729352193798,0.0105249641475703,-0.0342202041204167,0,1.72856086000372e-07,-6.93913970728488e-09,9.45719483946839e-07,-3.40837973511476e-07,0,0
"Education","raw",-0.0811568011225474,0.0229082197692575,0.068933043730574,1.72856086000372e-07,0,-1.70794523457474e-06,6.10191811911687e-07,-7.81961864981806e-07,0,0
"Work","raw",-0.0438594850528935,0.029670496194057,0.030490203333619,-6.93913970728488e-09,-1.70794523457474e-06,0,-1.55195893469795e-07,2.3877489957469e-07,0,0
"Gym","raw",0.0335682633200659,-0.156535806512045,0.0360601280568972,9.45719483946839e-07,6.10191811911687e-07,-1.55195893469795e-07,0,1.51468622905382e-06,0,0
"Social","raw",0.0494727539559666,0.151845106501301,-0.157216838765679,-3.40837973511476e-07,-7.81961864981806e-07,2.3877489957469e-07,1.51468622905382e-06,0,0,0
