"","Attraction=~M_Atr","Attraction=~X_Atr","Attraction=~F_Atr","Attraction~Inactive","Attraction~Education","Attraction~Work","Attraction~Gym","Attraction~Social","Inactive~~Education","Inactive~~Gym","Inactive~~Work","Inactive~~Social","Education~~Gym","Education~~Work","Education~~Social","Work~~Gym","Gym~~Social","Work~~Social"
"1",0.180569092487766,0.146856440991606,0.230185688054638,0.4173510909079,0.437210370491525,0.421467795947853,0.354018956400289,0.665802924072268,0.109305468801034,0.229680560578862,0.0998578306870639,0.214921747555712,0.350167789078756,0.102753274884896,0.112955757926695,0.144200215174957,0.21492174755571,0.238828103118837
"2",0.40508899770802,0.21520686849216,0.404194945429423,0.580033213216188,1.39181265618976,0.893973287693588,0.421521837563498,2.97296203298408,0.198572657374002,0.225479469284578,0.165984204550871,0.232120446406455,0.204816913561235,0.186205708789052,0.191756672227108,0.150365282094688,0.242443356531981,0.218706468990082
"3",0.151260468764468,0.150502488380081,0.119265626259734,0.220545861633651,0.558069454678489,0.241265511897074,0.149010974463394,0.417107062556863,0.10775471626152,0.217374762206143,0.128535941449079,0.231122610358671,0.109981908304953,0.104956283957097,0.318613865064319,0.135800131976808,0.237493485361172,0.210093171148857
"4",0.392181228734002,0.265703645710498,0.442738490932769,0.550650443139533,0.874034358650328,0.611563987796067,1.07519818723228,2.14231744558971,0.230578136587884,0.213890420035918,0.145584358515071,0.201262216964828,0.240984687987092,0.192925270580482,0.31370798920729,0.14615728346264,0.277790600912748,0.234894979262069
"5",0.230120361865151,0.111376708584492,0.233370890288789,0.5069268296903,0.734572352902674,0.38979654405802,0.401944480811498,0.997841923479353,0.205267340589285,0.213135348275639,0.165836001520749,0.225162123838571,0.276990060139037,0.253799122787209,0.307318133412534,0.159376048440659,0.242443356531981,0.224986711359093
"6",0.201228052471287,0.129115597236686,0.111400209014082,0.225125229523669,0.40357483330443,0.371891195911698,0.229868987439405,0.628785344765348,0.223094161243035,0.238902582605597,0.104722081118718,0.230578136587886,0.272616809861845,0.222161948289302,0.20383351072098,0.128336833420011,0.238029295816026,0.223035101546153
"7",0.155935346255696,0.146020564819326,0.189671570152188,0.257352748038006,0.298239035278582,0.275175976946517,0.211190121358064,0.260177213064925,0.228850566766745,0.228847450243921,0.161673852814842,0.243060692442066,0.235450521582669,0.217319958795558,0.22333126169217,0.133737514692513,0.235087747196228,0.206033918487551
"8",0.494456773993188,0.193439778084339,0.447070161518982,1.00373808462067,2.60246517963086,1.51518031028816,1.90136398746117,4.38087222119496,0.217747745619061,0.213743386990294,0.15013231418508,0.233626880383675,0.250896584000831,0.198654604212133,0.171050543926136,0.166033949890204,0.233843732753194,0.200918558441764
"9",0.138081991414104,0.120337766915174,0.122857191282791,0.225596708207052,0.183434713812744,0.172468634839284,0.148987388444996,0.389975002120436,0.215823227822581,0.213493938343719,0.144637075469014,0.207020266314915,0.226210735711847,0.198654604212107,0.312274153689097,0.139938158334076,0.274603570320508,0.228806438430092
"10",0.200708314890248,0.159818979783487,0.142458147387719,0.222507259665635,0.257514768803657,0.226419309463488,0.220321373952119,0.20236215613548,0.249883412918745,0.239712020751122,0.156341867144254,0.247008951608503,0.222487150555581,0.185650933361036,0.254327817877396,0.157162360811906,0.250109035423177,0.216648453075411
