"","Attraction=~M_Atr","Attraction=~X_Atr","Attraction=~F_Atr","Romanticism=~M_Rom","Romanticism=~X_Rom","Romanticism=~F_Rom","Eroticism=~M_Ero","Eroticism=~X_Ero","Eroticism=~F_Ero","Attraction~~Romanticism","Attraction~~Eroticism","Romanticism~~Eroticism"
"1",0.0786468309039865,0.0667737459065813,0.0684326891192726,0.0437292750384488,0.03709155151115,0.0352280163069595,0.0547973515116629,0.0588929089411297,0.0565056853973438,0.0693477165423027,0.0694050224631441,0.0706343484042893
"2",0.0728148755952784,0.0677573688916161,0.0697239754526463,0.0414430206560164,0.036779211366053,0.0332920045549554,0.0556927889469965,0.0573646282023891,0.0572325090628456,0.067617380728959,0.0711863527488829,0.0708766043631732
"3",0.119412025924556,0.0764021341573803,0.0861905882015979,0.0429058319700787,0.0319006930978699,0.0359853460080025,0.0598956286670824,0.0570624193864674,0.0585252063848477,0.0682681009070442,0.0688668832808935,0.0707380888168993
"4",0.0932162395446218,0.072679613947441,0.0803055418493968,0.0468654324163423,0.0455512278774476,0.0410249952215325,0.0475934648124666,0.0467720972998134,0.0515834403605959,0.0699174179166281,0.0704090617967627,0.0670149468457061
"5",0.080684687960548,0.0697663947876403,0.0719675793957642,0.0430633733804792,0.0404427398765642,0.0365539326185679,0.0544219544232054,0.0556606096892362,0.0565913990225676,0.0667751717476239,0.0722026771818054,0.0701113776903654
"6",0.0678018368472232,0.0650941729720948,0.0618672924957402,0.0397371817081602,0.0377381408862964,0.0346862811994635,0.0554213736270516,0.0579610805531053,0.0585729176150238,0.0677587119017694,0.0705231804565873,0.0680756468300845
"7",0.135300391346494,0.0719086274272147,0.0846220040300127,0.0430666213204789,0.0400833358043185,0.0380343962035548,0.0510134282929328,0.0513997529088752,0.0545577427193426,0.0678222794919966,0.0654768293460591,0.0676569104296552
"8",0.0882979187775558,0.0741050411982886,0.0812721502367045,0.0390484378228377,0.0409107038933356,0.0361097104517315,0.058076055597606,0.0580834861475057,0.0600517619937577,0.0667196242079685,0.0717748323101722,0.0694928388024637
"9",0.0630275382847923,0.0672818002702072,0.0612595332282492,0.0455728523488045,0.0365069337512399,0.0368561864207251,0.0472504248084733,0.0434621762588839,0.0516797459209201,0.0686567779564945,0.069184120329639,0.0673756834169529
"10",0.07549769744273,0.0687985440009948,0.0644223963562186,0.0444154516590229,0.0442492088003617,0.0386206874300233,0.0494252009897784,0.0497855862145109,0.0526306005695423,0.0692070273698021,0.0692092351005373,0.0705556043911535
"11",0.0703043119140071,0.0624221358404289,0.0678774760339819,0.0482162451652298,0.0432217319546486,0.0419469673873759,0.0492566085201599,0.0488945004966741,0.0529920802166942,0.0694854363852479,0.0672665489202092,0.0695389624595372
"12",0.101627314508647,0.0689813772458118,0.0798640492578766,0.0431220496483123,0.0429088122472817,0.040103590569417,0.0554099678289556,0.0564326695680093,0.0573494254189745,0.0686409329748535,0.0681587712668152,0.0695471309432114
"13",0.0667148478828144,0.0676996437565452,0.0685314285056234,0.0479759041770736,0.041129182609044,0.0407876839238999,0.0489223535297679,0.0480445662158769,0.0527018934886527,0.069007226762124,0.0702146305057526,0.0699423533159931
"14",0.071857281443494,0.0671005971751212,0.0705048575546178,0.046512153174147,0.0419058869286116,0.0393684836135975,0.0479466695304497,0.0471256714060098,0.0520700399064493,0.0661321973237752,0.0684603222778068,0.0703086077332751
"15",0.0875752568626064,0.068049548346812,0.0702682604594717,0.0386554174853013,0.0395477559144456,0.0358082528313143,0.0499510288170667,0.0468090881583099,0.0534688998186558,0.0659573891185753,0.0697258432525352,0.0705853458579914
"16",0.0748264550653722,0.0681711415611408,0.0649575963217934,0.0414482459479397,0.0372571266226717,0.0346025362671859,0.0493469599439678,0.0479305887199368,0.0527044408044173,0.0669911744041959,0.0680287073846756,0.0679855152653574
"17",0.0829450964310843,0.0681351404234979,0.0707602631340851,0.0469560226900852,0.0392577269909971,0.0370893445812317,0.0459265205089151,0.0422127022510224,0.0484739472712976,0.0692119886448016,0.0678257596602611,0.0672657992467481
"18",0.0654930712755394,0.0652000633636111,0.0648334563829507,0.0457055814759095,0.0375419663513908,0.0392715691273667,0.0461677316160176,0.0437689125642043,0.0485642362816959,0.0685626541128763,0.0672932894450734,0.0685624218900922
"19",0.0798863469505312,0.070713360623631,0.0736728460324624,0.0423920462029854,0.0382276129240293,0.0381218759609262,0.0466648066794879,0.0452245676903025,0.0508522678046773,0.0686463506482478,0.0691715417992212,0.069411424998599
"20",0.103746899508292,0.0683911206763269,0.0820092585746027,0.0427837962056456,0.0375437368231789,0.0385227291914041,0.0481670712847791,0.046458216432224,0.0511127865712957,0.0679333222054558,0.0694582785780643,0.0687839574074162
"21",0.0668396223637454,0.0662978649737905,0.0659295912605348,0.0474730998682684,0.0356083059940553,0.0385271435031263,0.0501837239347936,0.0519825029409536,0.0521504916924076,0.0688284081909871,0.069440713898754,0.0698984037346273
"22",0.0713162856781261,0.0687158221945474,0.0659574103409682,0.0485359003743438,0.0383103837394008,0.0386384509371126,0.053186806844858,0.0525928956103157,0.0540190192025364,0.0690117265331142,0.0708304455825324,0.0720511242867422
"23",0.0738463550024033,0.0662887787362621,0.0711862312138176,0.0403781053208663,0.036791500971471,0.0356149439606506,0.0536935250969655,0.0529623528719042,0.0560078376646601,0.0690467395863979,0.0701750880777447,0.0699216634227992
