"","Attraction=~M_Atr","Attraction=~X_Atr","Attraction=~F_Atr","Attraction~Inactive","Attraction~Education","Attraction~Work","Attraction~Gym","Attraction~Social","Inactive~~Education","Inactive~~Gym","Inactive~~Work","Inactive~~Social","Education~~Gym","Education~~Work","Education~~Social","Work~~Gym","Gym~~Social","Work~~Social"
"1",0.719187562269023,0.424619426560806,0.678209192956435,-0.2887047351669,-0.0567925906547367,-0.364241459183871,0.107404167320463,0.614664835345139,-0.633057034836595,-0.831014274269421,-0.89883600579516,-0.62411479268575,-0.310421513200969,-0.407948404636076,0.208915606453131,-0.536817711874039,-0.439957471688519,0.291749460487622
"2",0.752536969000055,0.447051171203753,0.781944166075537,-0.303594350126107,0.154165892575745,-0.134798891596876,-0.0241187997264572,0.145709103834508,-0.610315806918108,-0.818158541090687,-0.892056163676521,-0.644407881715777,-0.352615464801358,-0.403415745477318,0.438950722656377,-0.50163495897808,-0.190311956143274,0.128067317482442
"3",0.740267548881425,0.35707062399634,0.827511998128607,-0.253881764588324,0.061434849210853,-0.143451695971926,-0.0224670065377726,0.289892173561983,-0.579006290068416,-0.821801892861893,-0.86146731418236,-0.635401556858154,-0.297521963949671,-0.383430306755323,0.112029102742345,-0.596503695627152,-0.340085950220283,0.288462189409488
"4",0.784789694442617,0.360489412018552,0.678524295263767,-0.149506827525673,-0.138530185553752,-0.297287182289222,0.0558299583770587,0.531637919316668,-0.610701935009415,-0.829063834504788,-0.887634819442001,-0.569120240991293,-0.0922045077219473,-0.465305996458868,0.304143746245971,-0.568929123235774,-0.241127052279722,0.175189033407703
"5",0.768756730467482,0.346002338821191,0.652036762510457,-0.253469168299168,-0.041556640043414,-0.1594078454777,0.220418362701968,0.439331556444208,-0.553613547551815,-0.823676846260938,-0.885695599769787,-0.560061291963462,-0.166674224095629,-0.42998229188778,0.189428146629406,-0.637377718409193,-0.213189222791683,0.179123575634387
"6",0.802405550018588,0.467200148209233,0.697612587008658,-0.335957907379503,-0.101654724310164,-0.32915094053433,0.124270958929239,0.502642786606826,-0.603149982357188,-0.820826483480558,-0.875652054356021,-0.570335065831213,-0.225349079231392,-0.530243127568568,0.361967926930921,-0.534568852556828,-0.43618737691364,0.215591482176767
"7",0.78780738527194,0.358173996823841,0.699684408685239,-0.209970151351683,-0.174690541753332,-0.322920618783494,0.193392505425994,0.482877160228411,-0.614683372541968,-0.810396151971442,-0.890185204232814,-0.576026904584704,-0.116801187646568,-0.514976116678788,0.137066695735208,-0.482531426397966,-0.434971393136745,0.232189125061915
"8",0.728743359730661,0.345425239400179,0.723874834936967,-0.211099710684585,-0.176644638980805,-0.256241205010532,0.241766526540178,0.541887036342614,-0.622303391573451,-0.821083070662306,-0.836421659776866,-0.548562093873846,-0.16175664564163,-0.563544456375011,0.340583036164441,-0.469092634510005,-0.277426940012073,0.163356454827223
"9",0.684072421471786,0.408952560187952,0.751075194193619,-0.334794483469246,-0.0458213859497931,-0.26698515389061,0.125655086423847,0.434591915156697,-0.592261303098232,-0.822540205486544,-0.88045681545842,-0.651806099778394,-0.299825961045956,-0.405615069636408,0.287115834494149,-0.572103275609272,-0.275201249462051,0.224094854787869
"10",0.769518019637582,0.464569312898311,0.706745408776179,-0.300167660072842,-0.0298043067736085,-0.120134599687083,0.044370223673284,0.353147819856088,-0.634814268426283,-0.812460477684993,-0.872593030248214,-0.594723284437943,-0.151952854882699,-0.442407457398884,0.347879579031395,-0.542719161069908,-0.25318112570894,0.158098491845686
"11",0.713905780232421,0.408763658511476,0.85377984877759,-0.307314504128494,-0.0382210099095069,-0.192861480556185,0.144446395397673,0.316424024968221,-0.575301521302301,-0.816902622158622,-0.827527195501106,-0.535817847081871,-0.381787629941857,-0.517293029289677,0.219482992405485,-0.618698668054215,-0.432520222352442,0.126204957816851
