"","Attraction=~M_Atr","Attraction=~X_Atr","Attraction=~F_Atr","Romanticism=~M_Rom","Romanticism=~X_Rom","Romanticism=~F_Rom","Eroticism=~M_Ero","Eroticism=~X_Ero","Eroticism=~F_Ero","Attraction~~Romanticism","Attraction~~Eroticism","Romanticism~~Eroticism"
"1",0.934833835997511,0.456855913923859,0.785085275382924,0.858125984379555,0.858827467124971,0.90377621034089,0.811748842661578,0.8763166511893,0.699722757041821,0.221463646172651,0.130244321253301,0.181419035460203
"2",0.934776259513096,0.458114353361909,0.784961744364001,0.856948141538941,0.858986567348079,0.903673787395509,0.81153994750021,0.87691593682556,0.699217615891083,0.220052209387074,0.125886142660276,0.180096121425578
"3",0.935254954093544,0.457492929904345,0.784736973188637,0.857173582804756,0.858152899833908,0.903046445409549,0.811613323297802,0.876155508682194,0.699399279478698,0.225546625984865,0.130821998016478,0.177850507798393
"4",0.934776259513096,0.458114353361909,0.784961744364001,0.856948141538941,0.858986567348079,0.903673787395509,0.81153994750021,0.87691593682556,0.699217615891083,0.220052209387074,0.125886142660276,0.180096121425578
"5",0.93445704312821,0.457746498450684,0.785359274046507,0.857050529008025,0.858879859361518,0.903670155518947,0.811169207000718,0.877183278999581,0.702578148107467,0.220056671528343,0.129272175982072,0.182181029108622
"6",0.934776259513096,0.458114353361909,0.784961744364001,0.856948141538941,0.858986567348079,0.903673787395509,0.81153994750021,0.87691593682556,0.699217615891083,0.220052209387073,0.125886142660276,0.180096121425578
"7",0.934575536628897,0.457960576122222,0.785187181173353,0.856995729185816,0.85893462296348,0.903673994343561,0.811713483754127,0.876118666134481,0.702006586534789,0.220053807403973,0.127302342229209,0.180952820252438
"8",0.933429160442524,0.458357321250462,0.788326526104271,0.857122287611046,0.858879016635958,0.903608017948268,0.812058837204967,0.877812976325621,0.699891772889834,0.220841180832335,0.127997515918215,0.181902611541618
"9",0.938262824491881,0.457868675747493,0.784274077675324,0.857183623213631,0.858835922529742,0.903589047910284,0.812029209709925,0.877877456130275,0.699846723506872,0.221170879279553,0.127741489672971,0.181900760388802
"10",0.939129493356696,0.459815327268731,0.783419634461948,0.857220802062307,0.858809769835709,0.903577570540497,0.811093353098176,0.876991087696889,0.702926402716181,0.221498505096111,0.127299661336417,0.182189392344409
"11",0.934575536628897,0.457960576122222,0.785187181173353,0.856995729185816,0.85893462296348,0.903673994343561,0.811713483754127,0.876118666134481,0.702006586534789,0.220053807403973,0.127302342229209,0.180952820252438
"12",0.935175905609893,0.458059719837454,0.784627290581273,0.85891671656133,0.858688112132566,0.903194401351053,0.811604783028845,0.876720220604443,0.699387099817872,0.221668032631521,0.125884353099384,0.181401230074743
"13",0.932878017851955,0.458879959635908,0.788698466370162,0.85672528756431,0.86059343069328,0.903377004177296,0.811535222541801,0.876229576374804,0.699405969723331,0.221417083110594,0.128271431628101,0.179520996980419
"14",0.934776259513096,0.458114353361909,0.784961744364001,0.856948141538941,0.858986567348079,0.903673787395509,0.81153994750021,0.87691593682556,0.699217615891083,0.220052209387073,0.125886142660276,0.180096121425578
"15",0.933669081565628,0.460522733022065,0.785896371685114,0.85706888488257,0.857947946089169,0.903303086647303,0.810773578060831,0.876278626675019,0.704265837014085,0.219607163769716,0.126922453973822,0.179829999556871
"16",0.931657293289311,0.45849308342497,0.789852118892909,0.857022514988571,0.858978288727998,0.903615358554913,0.811562335774724,0.876773967986684,0.69937315007377,0.220826997793538,0.127407591921941,0.180100639903681
"17",0.934776259513096,0.458114353361909,0.784961744364001,0.856948141538941,0.858986567348079,0.903673787395509,0.81153994750021,0.87691593682556,0.699217615891083,0.220052209387074,0.125886142660276,0.180096121425578
"18",0.935323831263012,0.457847537222631,0.78456429658649,0.856882777684428,0.859775620346484,0.90390131769432,0.81408989978246,0.875771623136253,0.700425343495819,0.223449102736664,0.127445213030916,0.181652935196253
"19",0.935213360101262,0.457861919580408,0.784656935701017,0.855756652305027,0.860517282887998,0.905935815444952,0.814080220827369,0.875791841827851,0.700411755657315,0.223339682081142,0.127447037022375,0.1815620039066
"20",0.935435890048987,0.4582620419405,0.786585623908053,0.858209452720984,0.858819920922201,0.903709052158787,0.811685885269067,0.878374194120628,0.69965222451657,0.221304135544975,0.127925646142904,0.181149218689689
"21",0.93491058158706,0.457742141126945,0.784961276550153,0.858482225989269,0.858766132994758,0.903512973717896,0.811952799240288,0.877980785805035,0.699812887211958,0.221660228789481,0.12883933414261,0.181156762099644
"22",0.934575536628897,0.457960576122222,0.785187181173353,0.856995729185816,0.85893462296348,0.903673994343561,0.811713483754127,0.876118666134481,0.702006586534789,0.220053807403973,0.127302342229209,0.180952820252438
"23",0.934866482328372,0.459162210784042,0.785273655141434,0.85723431173029,0.858857357308344,0.903527401706659,0.814418785916735,0.875562727712348,0.700262394738697,0.222411957481346,0.127989003748722,0.181003323041732
"24",0.934823899119668,0.459709170083633,0.785137428498593,0.857322130806401,0.858766387041601,0.903523810708734,0.811513818806956,0.876194660153929,0.699479688162844,0.222406713101809,0.126124838163995,0.183300234357023
"25",0.934062572299988,0.459846011466709,0.785764917762848,0.856708500728551,0.860345220379125,0.903592597836301,0.812212196516333,0.876395826069597,0.70099028547052,0.220323555100483,0.128099056150561,0.181792626832264
"26",0.934370439173223,0.457601574287719,0.785481380594754,0.857093681589414,0.858843243560955,0.903661884175236,0.811558162402348,0.876015766366498,0.699654044874992,0.220058736274269,0.130850113657486,0.183307349644312
"27",0.935223245398705,0.457879750489198,0.784642597032287,0.856884642166904,0.859751234073698,0.903919417990814,0.812012055901885,0.876288414288369,0.70139343065496,0.223448304601,0.127273401943316,0.18180968097617
"28",0.933794142071163,0.460226469952005,0.785880522670928,0.856995483005664,0.858014451699818,0.90331397365491,0.812894417727603,0.876543387204242,0.701000864544317,0.219609425472057,0.127935425818435,0.182254755139572
"29",0.935254954093544,0.457492929904345,0.784736973188637,0.857173582804756,0.858152899833908,0.903046445409549,0.811613323297802,0.876155508682194,0.699399279478698,0.225546625984865,0.130821998016478,0.177850507798393
"30",0.935760226028894,0.45586435092953,0.784581977769374,0.85711860711092,0.857846209586522,0.903341285952636,0.811559084331965,0.876366335481644,0.699196334826849,0.218287089927209,0.125153905645337,0.177849223548979
"31",0.934370439173223,0.457601574287719,0.785481380594754,0.857093681589414,0.858843243560955,0.903661884175236,0.811558162402348,0.876015766366498,0.699654044874992,0.220058736274269,0.130850113657486,0.183307349644312
"32",0.934823899119668,0.459709170083633,0.785137428498593,0.857322130806401,0.858766387041601,0.903523810708734,0.811513818806956,0.876194660153928,0.699479688162844,0.222406713101809,0.126124838163995,0.183300234357023
"33",0.934455897953325,0.459479679726791,0.785534627338493,0.858086203326542,0.858835102961118,0.903804967875925,0.812070463395876,0.876291397966628,0.701312676218297,0.221297390894251,0.128120470443286,0.18127746254976
"34",0.934891520689916,0.457246125441329,0.784911557944107,0.857239054754088,0.858882652809432,0.903502868159871,0.811694080034975,0.876503296784265,0.699551862575334,0.223277321993176,0.130207058930791,0.180107783081145
"35",0.934642214818324,0.459773374970039,0.785277069372687,0.858579041950027,0.858244500825659,0.905447004417365,0.814935528940087,0.876471140895973,0.699062038520036,0.221198780595113,0.126937545020317,0.181045552027763
"36",0.935460675495781,0.456747318981942,0.78456801965165,0.857687034836594,0.858901981864953,0.90410130989633,0.815104037254172,0.876341206420317,0.699008072189088,0.221458516216877,0.12666164924833,0.181160284272373
"37",0.938267981951453,0.45791138341398,0.784256168716677,0.857775600617537,0.85774919196817,0.906546378073888,0.811673397755816,0.876533215286599,0.699540199312612,0.221165605664441,0.127496036797752,0.181525417864903
"38",0.935478840352999,0.457851315213145,0.784426759000959,0.857044043509292,0.858251855286666,0.903080451902105,0.812171220813949,0.876360432670533,0.701090270119169,0.225540685789417,0.127260557049169,0.182548787333601
"39",0.93778464735695,0.458225790849804,0.784531495833679,0.856979009271041,0.858167196661751,0.903205574236122,0.811761215945579,0.876190303177141,0.699871051736231,0.222699672625844,0.127242739510347,0.184770084386263
"40",0.934891520689917,0.457246125441329,0.784911557944107,0.857239054754088,0.858882652809432,0.903502868159871,0.811694080034975,0.876503296784265,0.699551862575334,0.223277321993176,0.130207058930791,0.180107783081146
"41",0.931657293289311,0.45849308342497,0.789852118892909,0.857022514988571,0.858978288727998,0.903615358554913,0.811562335774724,0.876773967986684,0.69937315007377,0.220826997793538,0.127407591921941,0.180100639903681
"42",0.934866482328372,0.459162210784042,0.785273655141433,0.85723431173029,0.858857357308344,0.903527401706659,0.814418785916735,0.875562727712348,0.700262394738697,0.222411957481346,0.127989003748722,0.181003323041732
