"","npar","fmin","chisq","df","pvalue","chisq.scaled","df.scaled","pvalue.scaled","chisq.scaling.factor","baseline.chisq","baseline.df","baseline.pvalue","baseline.chisq.scaled","baseline.df.scaled","baseline.pvalue.scaled","baseline.chisq.scaling.factor","cfi","tli","cfi.scaled","tli.scaled","cfi.robust","tli.robust","nnfi","rfi","nfi","pnfi","ifi","rni","nnfi.scaled","rfi.scaled","nfi.scaled","pnfi.scaled","ifi.scaled","rni.scaled","nnfi.robust","rni.robust","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.ci.level","rmsea.pvalue","rmsea.close.h0","rmsea.notclose.pvalue","rmsea.notclose.h0","rmsea.scaled","rmsea.ci.lower.scaled","rmsea.ci.upper.scaled","rmsea.pvalue.scaled","rmsea.notclose.pvalue.scaled","rmsea.robust","rmsea.ci.lower.robust","rmsea.ci.upper.robust","rmsea.pvalue.robust","rmsea.notclose.pvalue.robust","rmr","rmr_nomean","srmr","srmr_bentler","srmr_bentler_nomean","crmr","crmr_nomean","srmr_mplus","srmr_mplus_nomean","cn_05","cn_01","gfi","agfi","pgfi","mfi","wrmr"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",37,0.479790743616601,47.9790743616601,68,NA,66.0942760369213,68,0.542853882819102,1.32355404645486,366.301770497988,91,NA,216.193221139561,91,3.42559314248092e-12,2.19901499451868,1,1.09732123865991,1,1.02037096773311,NA,NA,1.09732123865991,0.824714768365496,0.869017629108283,0.649375810762233,1.06711634867241,1.07272356295466,1.02037096773311,0.590876659011133,0.694281459480846,0.518803727963709,1.01285972427365,1.01522226160276,NA,NA,0,0,0,0.9,0.993171715223564,0.05,0.000480696731493969,0.08,0,0,0.0795415280170152,0.77855869144831,0.0484099755714579,NA,NA,NA,NA,NA,0.150139711085139,0.159835928034635,0.159835928034635,0.150139711085139,0.159835928034635,0.159835928034635,0.171691328207248,NA,NA,91.1280008879733,101.114306596977,0.907968213646207,0.857892094600761,0.588017509789925,1.22666016052018,0.675976009447927
"7",37,0.284375969808847,28.4375969808847,68,NA,51.496086518847,68,0.931993887604847,1.2704126870478,320.426357999279,91,NA,203.086778368911,91,1.5528911490037e-10,2.04686370094578,1,1.23076600483913,1,1.19704482395641,NA,NA,1.23076600483913,0.881232629558524,0.911250756153622,0.680934630971938,1.1567284943327,1.17244053108858,1.19704482395641,0.660667813818615,0.746433091644679,0.557774178371848,1.1221726780402,1.14724228603336,NA,NA,0,0,0,0.9,0.999999530804742,0.05,7.92579582543079e-09,0.08,0,0,0.0244883713800125,0.982389436780668,0.0015697633887739,NA,NA,NA,NA,NA,0.122881842026473,0.130817710497451,0.130817710497451,0.122881842026473,0.130817710497451,0.130817710497451,0.140520762412513,NA,NA,153.061303195855,169.909903467271,0.937732396216206,0.903851494157377,0.607293361359067,1.4973516634751,0.520417387258349
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",37,0.480324441377425,48.0324441377425,68,NA,69.7583551704962,68,0.418168293904847,1.22449536992766,752.250030071834,91,NA,360.147611524148,91,0,2.45683038510824,1,1.04041026355679,0.993466948636331,0.991257240086854,NA,NA,1.04041026355679,0.914551399882665,0.93614829881342,0.699539388124314,1.02918166603538,1.03019668046002,0.991257240086854,0.74079213644183,0.806306211846642,0.602514531929359,0.993981278295165,0.993466948636331,NA,NA,0,0,0,0.9,0.993064179558917,0.05,0.000490043955990294,0.08,0.0229721056545571,0,0.0878695696186626,0.678435311586707,0.0859026363504282,NA,NA,NA,NA,NA,0.140075551950001,0.149121812471025,0.149121812471025,0.140075551950001,0.149121812471025,0.149121812471025,0.16018252193133,NA,NA,91.0278579260129,101.00306765793,0.946607749990451,0.917556084544079,0.613041209517626,1.22599231608013,0.676351867692313
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
