"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"results","Models","Observations","ConvPer","Chi.Sq","sd_Chi.Sq","Chi.P","sd_Chi.P","CFI","sd_CFI","TLI","sd_TLI","RMSEA","sd_RMSEA","SRMR","sd_SRMR","Coverage"
"result","model1","20","50.1","11.9584164124978","3.53651184104116","0.817893001470286","0.181226791910844","0.995689356324676","0.0225852913912752","0.332744603720395","23.4248318586497","0.00525142306972327","0.0231983010392575","0.123103015890473","0.0283269629892461","59.6308879419555"
"result","model1","50","93.9","11.8176195944966","4.36965330856479","0.810754105280431","0.216967942327351","0.99474199961961","0.0221601799408612","1.20493650256076","0.184367497856966","0.00531557253158084","0.0192353077910437","0.0996556283402249","0.0247917547630548","67.2079032901865"
"result","model1","100","99.3","11.759824804746","4.55427951500163","0.810089657770665","0.221337419585697","0.996857179018988","0.0146398216618687","1.0922017276137","0.0772113674839612","0.00397120643195283","0.0137287517072378","0.0797756535286352","0.0201804740124194","72.9888746255884"
"result","model1","250","100","14.3542138943663","5.0364300558426","0.682083544831774","0.261310824255189","0.997255997317575","0.00814965077475717","1.01859440437413","0.0278838426860394","0.00556104559815977","0.0121943194226701","0.0602171517547171","0.0131865230125463","78.0578947368421"
"result","model1","500","100","19.1211668568874","5.44401385859872","0.437395045995948","0.263794133624456","0.996054611775499","0.00574224415042762","0.997446104223695","0.0124729865894384","0.0117036405098384","0.0129364684797279","0.0517421442151005","0.00829621699812717","85.4105263157895"
"result","model1","1000","100","28.4711518253644","2.97645271598024","0.0685981207991183","0.049505659812041","0.993936059633217","0.00177628468676154","0.990567203873893","0.00276310951274016","0.0238680704044822","0.00355539392012101","0.0469356364616222","0.00255980355579423","98.5526315789474"
"result","model2","20","96","72.1216592121083","10.231732896871","0.477165830943305","0.241719822340449","0.93717071246336","0.103509990587207","0.975716273066651","2.42754908686329","0.0350281626086515","0.0445016807906021","0.265675460219273","0.0295455175511469","30.7569444444444"
"result","model2","50","100","69.6042238337284","10.2563692662205","0.538120431571921","0.261594208500172","0.976526351439056","0.0469399096485496","1.01696636462333","0.0818092602364853","0.0179043055561412","0.0256969219993035","0.184734852286374","0.0204043605061176","34.7933333333333"
"result","model2","100","100","65.029385678993","10.2678186007662","0.651330930906456","0.262801850901321","0.992586985641236","0.017931495797401","1.02496334324861","0.0421253655337883","0.00770475006120107","0.0149533823609575","0.12901512942241","0.0149300095342144","36.9633333333333"
"result","model2","250","100","59.4263733700353","9.89891337731022","0.775912464874334","0.225321998397493","0.998799727234368","0.00452284213288186","1.017831985514","0.0156506766812708","0.00217880283129357","0.00629518501802637","0.0791277517000581","0.00900514345387328","40.9533333333333"
"result","model2","500","100","54.0258420962642","8.63579170112064","0.878646932102107","0.157309310122519","0.99986243516515","0.000940884725303592","1.01270759074334","0.00659290665855089","0.000395657839730172","0.00220103838638066","0.0535323126994889","0.00577460660794544","46.0633333333333"
"result","model2","1000","100","44.4223743427538","3.66462959028655","0.990374234541658","0.0126064501068118","1","0","1.00977582087212","0.001399723098291","0","0","0.034148987517901","0.00194383224857896","56.1916666666667"
"result","model3","20","82.7","26.6322520908758","4.35531722476793","0.752697005124641","0.173899502232675","0.996336894086637","0.0194519310699073","1.15098831622092","0.333236619028365","0.00480469559102268","0.0185419538179695","0.176582202870687","0.0297672149928498","63.6811851574913"
"result","model3","50","96","26.9852752269419","5.73197716548834","0.731361423441759","0.215099603710532","0.996235502524327","0.0167348028721316","1.04508114191778","0.0535577699925498","0.0059171579590553","0.0177981897326431","0.131554940203795","0.021813485070244","66.6706982744719"
"result","model3","100","99.5","26.5530856232746","6.27973732001218","0.740684778434716","0.234457560607517","0.997599841161476","0.0084371979012782","1.02469250779266","0.0262810745114668","0.00507109323209156","0.0138284635051983","0.0958431850020293","0.0163587843960393","68.547137655899"
"result","model3","250","100","28.0302189692702","6.93272062427169","0.684371565021598","0.260397563193223","0.998419239623517","0.00417222099675466","1.00778809904234","0.01087896861501","0.00503667573361468","0.0107894133274013","0.0639626322311305","0.0102172545601548","72.6846153846154"
"result","model3","500","100","31.7862103432476","6.67888158170082","0.54207436837545","0.257140770130207","0.99854518663853","0.00278281475580416","1.00098497180089","0.00516307266237724","0.00639128395377089","0.00929418853851224","0.0490222841835851","0.00637104056386797","80.1307692307692"
"result","model3","1000","100","40.0011687724117","3.51905635428717","0.206231016844786","0.102474762331081","0.997515405705317","0.00124351720939964","0.997292177544022","0.0013622003994391","0.0139718689758302","0.00416851621179271","0.0395968448153317","0.00208493660093463","97.9076923076923"
"result","model4","20","5.60000000000001","61.7307474835544","5.97587474492856","0.678114644610138","0.178188700994086","0.993746132006765","0.023604159777748","1.1867542855187","0.294645404308082","0.00711355696407431","0.0207686142855654","0.174307137885621","0.0167382706503533","68.8765182186235"
"result","model4","50","37.3","60.2866728974452","7.81009876034737","0.706891204549654","0.210473936479619","0.994977707440406","0.0202170262489566","1.07564632267778","0.0925224468633276","0.0055469397506854","0.0142411903415605","0.131409069265022","0.0148098918147175","73.9505432482009"
"result","model4","100","62.7","59.7966209593379","8.75259390693654","0.71588386059889","0.227103623301046","0.996772851610623","0.0105615086013646","1.03664225933309","0.0407569703130093","0.00445878036485722","0.0114860595752201","0.101830523129637","0.0117241208930065","76.5980441534458"
