"","L1 <- (Atr_Z=~M_Atr_Z)","L2 <- (Atr_Z=~X_Atr_Z)","L3 <- (Atr_Z=~F_Atr_Z)","L1 <- (Atr_0=~M_Atr)","L2 <- (Atr_0=~X_Atr)","L3 <- (Atr_0=~F_Atr)","L1 <- (Atr_B=~M_Atr_B)","L2 <- (Atr_B=~X_Atr_B)","L3 <- (Atr_B=~F_Atr_B)","L1 <- (Atr_C=~M_Atr_C)","L2 <- (Atr_C=~X_Atr_C)","L3 <- (Atr_C=~F_Atr_C)","AR <- (Atr_0~Atr_Z)","AR <- (Atr_B~Atr_0)","AR <- (Atr_C~Atr_B)","ar1 <- (M_Atr_Z~~M_Atr)","ar1 <- (M_Atr_Z~~M_Atr_B)","ar1 <- (M_Atr_Z~~M_Atr_C)","ar1 <- (M_Atr~~M_Atr_B)","ar1 <- (M_Atr~~M_Atr_C)","ar1 <- (M_Atr_B~~M_Atr_C)","ar2 <- (X_Atr_Z~~X_Atr)","ar2 <- (X_Atr_Z~~X_Atr_B)","ar2 <- (X_Atr_Z~~X_Atr_C)","ar2 <- (X_Atr~~X_Atr_B)","ar2 <- (X_Atr~~X_Atr_C)","ar2 <- (X_Atr_B~~X_Atr_C)","ar3 <- (F_Atr_Z~~F_Atr)","ar3 <- (F_Atr_Z~~F_Atr_B)","ar3 <- (F_Atr_Z~~F_Atr_C)","ar3 <- (F_Atr~~F_Atr_B)","ar3 <- (F_Atr~~F_Atr_C)","ar3 <- (F_Atr_B~~F_Atr_C)","[ L1 ] - [ L1 ] # 1","[ L1 ] - [ L1 ] # 2","[ L1 ] - [ L1 ] # 3","[ L2 ] - [ L2 ] # 4","[ L2 ] - [ L2 ] # 5","[ L2 ] - [ L2 ] # 6","[ L3 ] - [ L3 ] # 7","[ L3 ] - [ L3 ] # 8","[ L3 ] - [ L3 ] # 9","[ AR ] - [ AR ] # 10","[ AR ] - [ AR ] # 11","[ ar1 ] - [ ar1 ] # 12","[ ar1 ] - [ ar1 ] # 13","[ ar1 ] - [ ar1 ] # 14","[ ar1 ] - [ ar1 ] # 15","[ ar1 ] - [ ar1 ] # 16","[ ar2 ] - [ ar2 ] # 17","[ ar2 ] - [ ar2 ] # 18","[ ar2 ] - [ ar2 ] # 19","[ ar2 ] - [ ar2 ] # 20","[ ar2 ] - [ ar2 ] # 21","[ ar3 ] - [ ar3 ] # 22","[ ar3 ] - [ ar3 ] # 23","[ ar3 ] - [ ar3 ] # 24","[ ar3 ] - [ ar3 ] # 25","[ ar3 ] - [ ar3 ] # 26"
"1",0.845825692081253,0.485019055862895,0.845597283181617,0.845825692081253,0.485019055862895,0.845597283181617,0.845825692081253,0.485019055862895,0.845597283181617,0.845825692081252,0.485019055862895,0.845597283181617,0.147573100617468,0.147573100617469,0.147573100617468,0.0396545475994751,0.0396545475994754,0.0396545475994756,0.0396545475994757,0.039654547599475,0.0396545475994751,0.0615867745077582,0.0615867745077583,0.0615867745077589,0.0615867745077583,0.0615867745077581,0.0615867745077581,0.0738391821746957,0.0738391821746957,0.0738391821746955,0.0738391821746947,0.0738391821746959,0.0738391821746957,-1.11022302462516e-16,0,2.22044604925031e-16,1.11022302462516e-16,1.11022302462516e-16,-1.66533453693773e-16,2.22044604925031e-16,1.11022302462516e-16,2.22044604925031e-16,-5.82867087928207e-16,2.77555756156289e-16,-3.67761376907083e-16,-5.20417042793042e-16,-6.03683769639929e-16,3.46944695195361e-17,-2.08166817117217e-17,-8.32667268468867e-17,-6.38378239159465e-16,-1.2490009027033e-16,1.66533453693773e-16,8.32667268468867e-17,8.32667268468867e-17,2.4980018054066e-16,1.01307850997046e-15,-1.94289029309402e-16,4.16333634234434e-17
"2",0.843144525521863,0.484799014297461,0.847827289671796,0.843144525521863,0.484799014297461,0.847827289671796,0.843144525521863,0.484799014297461,0.847827289671796,0.843144525521863,0.484799014297461,0.847827289671796,0.14911502665949,0.14911502665949,0.149115026659489,0.0393406808195405,0.0393406808195409,0.039340680819541,0.0393406808195411,0.0393406808195405,0.0393406808195405,0.0613194267721965,0.0613194267721966,0.0613194267721971,0.0613194267721966,0.0613194267721963,0.0613194267721964,0.0725821321903844,0.0725821321903843,0.0725821321903842,0.0725821321903835,0.0725821321903846,0.0725821321903844,-3.33066907387547e-16,1.11022302462516e-16,2.22044604925031e-16,5.55111512312578e-17,1.66533453693773e-16,-2.22044604925031e-16,3.33066907387547e-16,1.11022302462516e-16,2.22044604925031e-16,-5.55111512312578e-16,3.33066907387547e-16,-3.53883589099269e-16,-4.9960036108132e-16,-6.03683769639929e-16,4.85722573273506e-17,0,-8.32667268468867e-17,-6.10622663543836e-16,-6.93889390390723e-17,1.94289029309402e-16,8.32667268468867e-17,8.32667268468867e-17,2.4980018054066e-16,9.57567358739198e-16,-1.94289029309402e-16,1.38777878078145e-17
"3",0.844601711221223,0.485205370977739,0.846515972580678,0.844601711221224,0.485205370977739,0.846515972580678,0.844601711221223,0.485205370977739,0.846515972580678,0.844601711221223,0.485205370977739,0.846515972580678,0.149327195258884,0.149327195258885,0.149327195258884,0.0386686518585987,0.038668651858599,0.0386686518585992,0.0386686518585993,0.0386686518585987,0.0386686518585987,0.0604768021994545,0.0604768021994546,0.0604768021994551,0.0604768021994546,0.0604768021994544,0.0604768021994545,0.0732577972344371,0.0732577972344371,0.0732577972344369,0.0732577972344362,0.0732577972344373,0.0732577972344371,-3.33066907387547e-16,0,0,5.55111512312578e-17,2.22044604925031e-16,-1.66533453693773e-16,1.11022302462516e-16,1.11022302462516e-16,3.33066907387547e-16,-6.10622663543836e-16,3.88578058618805e-16,-3.53883589099269e-16,-5.06539254985228e-16,-5.96744875736022e-16,2.08166817117217e-17,-2.08166817117217e-17,-8.32667268468867e-17,-6.10622663543836e-16,-1.2490009027033e-16,1.66533453693773e-16,5.55111512312578e-17,5.55111512312578e-17,2.22044604925031e-16,9.29811783123569e-16,-1.94289029309402e-16,1.38777878078145e-17
"4",0.843854247244166,0.484063150740444,0.846367651543513,0.843854247244167,0.484063150740444,0.846367651543513,0.843854247244166,0.484063150740444,0.846367651543513,0.843854247244166,0.484063150740444,0.846367651543513,0.149986913716214,0.149986913716215,0.149986913716214,0.0388429158250941,0.0388429158250944,0.0388429158250946,0.0388429158250947,0.038842915825094,0.0388429158250941,0.0612481994479332,0.0612481994479333,0.0612481994479338,0.0612481994479333,0.061248199447933,0.0612481994479331,0.0730107296097274,0.0730107296097273,0.0730107296097272,0.0730107296097264,0.0730107296097276,0.0730107296097274,-3.33066907387547e-16,0,0,0,1.11022302462516e-16,-2.22044604925031e-16,2.22044604925031e-16,1.11022302462516e-16,3.33066907387547e-16,-6.38378239159465e-16,3.33066907387547e-16,-3.40005801291454e-16,-4.9960036108132e-16,-5.759281940243e-16,4.16333634234434e-17,-6.93889390390723e-18,-6.93889390390723e-17,-5.96744875736022e-16,-1.11022302462516e-16,2.08166817117217e-16,6.93889390390723e-17,5.55111512312578e-17,2.22044604925031e-16,9.57567358739198e-16,-1.94289029309402e-16,4.16333634234434e-17
"5",0.843075673085332,0.486411630989187,0.848006951098515,0.843075673085333,0.486411630989187,0.848006951098515,0.843075673085332,0.486411630989187,0.848006951098515,0.843075673085332,0.486411630989187,0.848006951098515,0.148631447284136,0.148631447284137,0.148631447284136,0.0389609152457297,0.03896091524573,0.0389609152457302,0.0389609152457303,0.0389609152457297,0.0389609152457297,0.0612858200820596,0.0612858200820597,0.0612858200820602,0.0612858200820597,0.0612858200820594,0.0612858200820595,0.0712169735198471,0.0712169735198471,0.0712169735198469,0.0712169735198462,0.0712169735198473,0.0712169735198471,-2.22044604925031e-16,0,0,1.11022302462516e-16,1.11022302462516e-16,-2.22044604925031e-16,1.11022302462516e-16,-1.11022302462516e-16,1.11022302462516e-16,-5.55111512312578e-16,3.60822483003176e-16,-3.40005801291454e-16,-4.9960036108132e-16,-5.759281940243e-16,4.16333634234434e-17,-6.93889390390723e-18,-9.71445146547012e-17,-6.24500451351651e-16,-1.2490009027033e-16,1.80411241501588e-16,6.93889390390723e-17,0,1.94289029309402e-16,9.15933995315754e-16,-2.63677968348475e-16,0
"6",0.844063646228704,0.485637482615397,0.846488813530823,0.844063646228705,0.485637482615397,0.846488813530823,0.844063646228704,0.485637482615397,0.846488813530823,0.844063646228704,0.485637482615397,0.846488813530823,0.149189684952189,0.14918968495219,0.149189684952189,0.0388079411092149,0.0388079411092152,0.0388079411092154,0.0388079411092155,0.0388079411092148,0.0388079411092149,0.06046185985605,0.0604618598560501,0.0604618598560506,0.0604618598560501,0.0604618598560498,0.0604618598560499,0.0729885053362418,0.0729885053362417,0.0729885053362415,0.0729885053362409,0.072988505336242,0.0729885053362418,-2.22044604925031e-16,0,0,0,1.11022302462516e-16,-3.33066907387547e-16,1.11022302462516e-16,2.22044604925031e-16,3.33066907387547e-16,-6.10622663543836e-16,3.05311331771918e-16,-3.60822483003176e-16,-4.92661467177413e-16,-5.89805981832114e-16,3.46944695195361e-17,-6.93889390390723e-18,-8.32667268468867e-17,-5.82867087928207e-16,-9.71445146547012e-17,2.22044604925031e-16,8.32667268468867e-17,5.55111512312578e-17,2.4980018054066e-16,9.15933995315754e-16,-2.08166817117217e-16,2.77555756156289e-17
"7",0.844150089669021,0.485154155856744,0.846525263624711,0.844150089669021,0.485154155856744,0.846525263624711,0.844150089669021,0.485154155856744,0.846525263624711,0.844150089669021,0.485154155856744,0.846525263624711,0.148503272784719,0.14850327278472,0.148503272784719,0.0394760109843788,0.0394760109843792,0.0394760109843793,0.0394760109843794,0.0394760109843788,0.0394760109843788,0.0606063032261748,0.0606063032261749,0.0606063032261754,0.0606063032261749,0.0606063032261746,0.0606063032261747,0.0736686720183731,0.073668672018373,0.0736686720183729,0.0736686720183721,0.0736686720183733,0.0736686720183731,-2.22044604925031e-16,1.11022302462516e-16,2.22044604925031e-16,-5.55111512312578e-17,1.66533453693773e-16,-2.22044604925031e-16,1.11022302462516e-16,1.11022302462516e-16,3.33066907387547e-16,-5.55111512312578e-16,2.4980018054066e-16,-3.60822483003176e-16,-5.06539254985228e-16,-6.10622663543836e-16,2.77555756156289e-17,-1.38777878078145e-17,-5.55111512312578e-17,-5.82867087928207e-16,-4.16333634234434e-17,2.22044604925031e-16,1.11022302462516e-16,8.32667268468867e-17,2.22044604925031e-16,9.71445146547012e-16,-2.08166817117217e-16,0
"8",0.843777694038077,0.485541835548353,0.847435318903084,0.843777694038077,0.485541835548353,0.847435318903084,0.843777694038077,0.485541835548353,0.847435318903084,0.843777694038077,0.485541835548353,0.847435318903084,0.148552202258251,0.148552202258252,0.148552202258251,0.0388996237959998,0.0388996237960002,0.0388996237960003,0.0388996237960004,0.0388996237959998,0.0388996237959998,0.0613698169364386,0.0613698169364387,0.0613698169364393,0.0613698169364388,0.0613698169364385,0.0613698169364386,0.0734831413588563,0.0734831413588562,0.073483141358856,0.0734831413588553,0.0734831413588565,0.0734831413588562,-1.11022302462516e-16,1.11022302462516e-16,2.22044604925031e-16,1.11022302462516e-16,1.11022302462516e-16,-2.22044604925031e-16,2.22044604925031e-16,1.11022302462516e-16,2.22044604925031e-16,-6.10622663543836e-16,2.77555756156289e-16,-3.7470027081099e-16,-5.06539254985228e-16,-5.82867087928207e-16,2.08166817117217e-17,-2.77555756156289e-17,-9.71445146547012e-17,-6.24500451351651e-16,-1.38777878078145e-16,1.52655665885959e-16,4.16333634234434e-17,8.32667268468867e-17,2.4980018054066e-16,9.43689570931383e-16,-2.08166817117217e-16,2.77555756156289e-17
"9",0.844303728619203,0.484273216296406,0.846595140872496,0.844303728619203,0.484273216296406,0.846595140872496,0.844303728619203,0.484273216296406,0.846595140872496,0.844303728619203,0.484273216296406,0.846595140872496,0.149679321179476,0.149679321179476,0.149679321179475,0.0389098180583885,0.0389098180583888,0.038909818058389,0.0389098180583891,0.0389098180583885,0.0389098180583885,0.0616936197766897,0.0616936197766898,0.0616936197766903,0.0616936197766899,0.0616936197766896,0.0616936197766897,0.0725030510695469,0.0725030510695469,0.0725030510695467,0.072503051069546,0.0725030510695471,0.0725030510695469,-2.22044604925031e-16,0,1.11022302462516e-16,0,1.11022302462516e-16,-1.66533453693773e-16,3.33066907387547e-16,0,2.22044604925031e-16,-6.66133814775094e-16,2.77555756156289e-16,-3.67761376907083e-16,-4.92661467177413e-16,-5.96744875736022e-16,6.93889390390723e-18,-3.46944695195361e-17,-9.71445146547012e-17,-6.24500451351651e-16,-1.38777878078145e-16,1.52655665885959e-16,4.16333634234434e-17,2.77555756156289e-17,1.94289029309402e-16,9.29811783123569e-16,-1.94289029309402e-16,1.38777878078145e-17
"10",0.845662611875801,0.485245763493023,0.845379060240057,0.845662611875802,0.485245763493023,0.845379060240056,0.845662611875801,0.485245763493023,0.845379060240056,0.845662611875801,0.485245763493023,0.845379060240056,0.149166219471116,0.149166219471116,0.149166219471115,0.0383498807156629,0.0383498807156632,0.0383498807156634,0.0383498807156635,0.0383498807156629,0.0383498807156629,0.0616913454715119,0.0616913454715119,0.0616913454715125,0.0616913454715119,0.0616913454715116,0.0616913454715118,0.0735193886492633,0.0735193886492632,0.0735193886492631,0.0735193886492624,0.0735193886492635,0.0735193886492633,-3.33066907387547e-16,1.11022302462516e-16,1.11022302462516e-16,0,1.11022302462516e-16,-2.77555756156289e-16,3.33066907387547e-16,1.11022302462516e-16,2.22044604925031e-16,-5.55111512312578e-16,3.60822483003176e-16,-3.40005801291454e-16,-4.9960036108132e-16,-5.82867087928207e-16,4.16333634234434e-17,-6.93889390390723e-18,-9.71445146547012e-17,-6.24500451351651e-16,-9.71445146547012e-17,2.22044604925031e-16,6.93889390390723e-17,8.32667268468867e-17,2.4980018054066e-16,9.57567358739198e-16,-1.94289029309402e-16,4.16333634234434e-17
