"","Attraction=~M_Atr","Attraction=~X_Atr","Attraction=~F_Atr","Romanticism=~M_Rom","Romanticism=~X_Rom","Romanticism=~F_Rom","Eroticism=~M_Ero","Eroticism=~X_Ero","Eroticism=~F_Ero","Romanticism~Inactive","Romanticism~Education","Romanticism~Work","Romanticism~Gym","Romanticism~Social","Eroticism~Inactive","Eroticism~Education","Eroticism~Work","Eroticism~Gym","Eroticism~Social","Attraction~Inactive","Attraction~Education","Attraction~Work","Attraction~Gym","Attraction~Social","Romanticism~Attraction","Eroticism~Attraction","Eroticism~Romanticism","Inactive~~Education","Inactive~~Gym","Inactive~~Work","Inactive~~Social","Education~~Gym","Education~~Work","Education~~Social","Work~~Gym","Gym~~Social","Work~~Social"
"1",0.789787970113325,0.419714516710487,0.702372091329603,0.818208386276238,0.843511201047564,0.886865787766772,0.668639934814593,0.696443811989368,0.616828423949229,0.0188090363867588,-0.0148234505072347,-0.107635719945427,-0.00934644054350755,0.0211688337677191,0.335260025311136,-0.256060501041904,0.116826106886738,0.167619135977875,-0.294859122346034,-0.254085743934175,-0.0482306444754558,-0.22818828240451,0.0625728220648578,0.425472199037836,0.20870133098874,0.351476441251656,0.173394384294615,-0.660007926516994,-0.854693789543742,-0.893038705551934,-0.689108466973527,-0.221830029929926,-0.397065068575121,0.238493019954584,-0.531646900598903,-0.311912476379656,0.20940039955579
"2",0.789685902457356,0.433451826793582,0.741464753478624,0.834170291210339,0.83012309171129,0.876761155986419,0.651619818578073,0.682850745785707,0.603433815683976,0.0313714682859388,-0.0223590424010465,-0.116301215402152,0.0104591533865809,0.0174320480895493,0.318356354815265,-0.273083513152536,0.125531752273738,0.19017045680988,-0.323957007587694,-0.247625038505067,-0.0420038783026618,-0.213467557201871,0.0574100157199076,0.367205847832666,0.209292955828691,0.348008221087471,0.135000077254429,-0.667116657254833,-0.848639344754106,-0.868948249497173,-0.691662662530724,-0.219001326447862,-0.409909193094743,0.250750215642793,-0.556762557496581,-0.271788620826525,0.23243419143305
"3",0.79320931963601,0.404194332254593,0.746417041453276,0.82810486398039,0.837583178856699,0.867064467350944,0.675102359836064,0.727039610312783,0.624054030744974,0.0297553309765452,-0.0110100550360495,-0.0921645627040912,0.0150547832352119,-0.0317153867488101,0.305718817036319,-0.213549992621576,0.105284836934816,0.157770539245273,-0.31271528544287,-0.235700091621709,-0.0544709697363843,-0.209206254303926,0.0400524945489214,0.400086040964629,0.239012768447594,0.322818812093203,0.120832564473725,-0.657854297546409,-0.851093171394516,-0.868814279051707,-0.653213466384503,-0.238274160783469,-0.393786498636614,0.211529975955126,-0.558165087007333,-0.307839458239802,0.231722781421218
"4",0.786168273099316,0.453734300952396,0.718009467079868,0.828570654760682,0.834801766497682,0.863901533384736,0.66560057137456,0.712035332944211,0.607313240000576,0.0303144889095748,-0.0194284497976112,-0.125681954922544,0.028964436934673,-0.00621974911526835,0.327597993674224,-0.247344887293099,0.107171234395755,0.162203443378879,-0.290401205588868,-0.251691433159454,-0.0657050042661,-0.219955879601564,0.0748560331730812,0.420462999340104,0.215356765396044,0.287924013655993,0.144725455308826,-0.666697334340536,-0.851702963874801,-0.900794402951677,-0.644483808671639,-0.219068883814129,-0.420315404930836,0.275851555915267,-0.51733027649519,-0.283681889343772,0.183747858630567
"5",0.79067452891697,0.402535243834605,0.678822539781828,0.82344724489614,0.825831954643682,0.875461845173633,0.684767869479259,0.707806102199694,0.619587585648103,0.0316449668331931,-0.0227189914449529,-0.137475718602174,3.07033066891138e-05,0.0387500142282026,0.344050022024474,-0.196600084142503,0.125940386896174,0.135335573525279,-0.362619754660015,-0.293620394895892,-0.0309378247495437,-0.24318336052902,0.0531044498510438,0.435127650912695,0.226859326471243,0.356089692946833,0.143519881510146,-0.642355995568973,-0.84982905034013,-0.872566308389512,-0.639122043704875,-0.251343886684582,-0.41355215011632,0.221515071255965,-0.528875406123173,-0.321882720217275,0.204926717534852
"6",0.790567612856562,0.443528468691575,0.75339921408162,0.847393583496002,0.830147257437607,0.866146748736207,0.654075167294097,0.695977304986658,0.598047336191789,0.0285863272645291,-0.0224609548538122,-0.120398490035755,0.0148570920278775,0.0300644741323509,0.327510749732406,-0.234145778736345,0.124831684128578,0.126806564290292,-0.356744179867441,-0.25133588475959,-0.0395144111344978,-0.201984834790571,0.0651982373927712,0.36898328841039,0.201187065756756,0.358813620017675,0.162426890141797,-0.656662099216957,-0.84739674606632,-0.871053097012694,-0.632037381779884,-0.239837739490828,-0.435513994670752,0.267860597896279,-0.548904896404184,-0.30033932598072,0.225660468540498
"7",0.799028036862423,0.401359115153971,0.692483278869369,0.823705472528907,0.820105102174201,0.871925711160973,0.673567285850087,0.698421114076029,0.621072643698792,0.0430498158587411,-0.0613089550165217,-0.147446298126989,0.0192879504180092,0.0809731053914578,0.320879599956575,-0.199578250944491,0.119669058963852,0.12787557196792,-0.341666049980979,-0.262616253066464,-0.0749915514047863,-0.227299021579249,0.10375899792882,0.451337857025227,0.211069038705527,0.344591319209904,0.144898337289229,-0.654124194185528,-0.84489300292719,-0.892695710269575,-0.633292402481884,-0.238367016309428,-0.461876308233077,0.23123367479777,-0.534978281745308,-0.335066999610764,0.213403287077858
"8",0.785592697534372,0.404243572877677,0.693014619734231,0.842565287743748,0.823646932455816,0.854808873065504,0.653160891415477,0.683598349911994,0.591212349153861,0.0530471016166723,-0.0316567048837869,-0.111749867365462,-0.00648337843518223,0.0435393298729908,0.350160214056226,-0.224488884219997,0.156814945956216,0.15420779965084,-0.374266575997246,-0.253730526170572,-0.0806114382078447,-0.223048580241757,0.0823551439157818,0.45551390127594,0.226726812792375,0.349583318586892,0.173098690390613,-0.654973048143003,-0.8479876611591,-0.866263634664882,-0.638192311815983,-0.244227021493732,-0.428938320847274,0.253373222677779,-0.518842769751169,-0.291781192303425,0.189683289040175
"9",0.782763153030116,0.422601659108412,0.700431306783064,0.826084717333036,0.840145281558405,0.878155621567675,0.651370707677964,0.698351221690287,0.598614463129204,0.0285246860296518,-0.0153533810087532,-0.126590219968763,0.00438085397409009,0.0158950413339925,0.351867310104248,-0.199505965667497,0.13885996776125,0.138010692231398,-0.379615968221486,-0.259126501830383,-0.082809970085645,-0.251574423957607,0.0715150936058702,0.451522645183722,0.213813132902045,0.367286617378255,0.159760518301142,-0.655667286389212,-0.844892133739178,-0.874388267813479,-0.700983535997947,-0.21888291784688,-0.428110776310354,0.252234972641826,-0.506985836748128,-0.285856837016776,0.216849169207222
"10",0.796855359514851,0.407556557440107,0.710245768605286,0.815801054406175,0.810351292192853,0.861036728759053,0.669422288341423,0.692561751588969,0.619450298168852,0.0354552688682674,-0.0505309949874591,-0.13690424325135,0.0430552632426084,0.0289704219697307,0.338465616340922,-0.272528398615104,0.0783300128373005,0.155564620918505,-0.248828507623643,-0.262254905776711,-0.0302481367381398,-0.199167573348671,0.0643340915939052,0.377427702844359,0.227782431096598,0.319472503167595,0.133376613766627,-0.657332152367349,-0.850483514247707,-0.873556285249988,-0.645536161623333,-0.199087935378113,-0.423729078489834,0.233319762943776,-0.561032566156897,-0.341877256427314,0.2150749978606
