"","AtrZ=~M_Atr_Z","AtrZ=~X_Atr_Z","AtrZ=~F_Atr_Z","RomZ=~M_Rom_Z","RomZ=~X_Rom_Z","RomZ=~F_Rom_Z","EroZ=~M_Ero_Z","EroZ=~X_Ero_Z","EroZ=~F_Ero_Z","Atr0=~M_Atr","Atr0=~X_Atr","Atr0=~F_Atr","Rom0=~M_Rom","Rom0=~X_Rom","Rom0=~F_Rom","Ero0=~M_Ero","Ero0=~X_Ero","Ero0=~F_Ero","Atr0~Inactive","Atr0~Education","Atr0~Work","Atr0~Gym","Atr0~Social","Rom0~Inactive","Rom0~Education","Rom0~Work","Rom0~Gym","Rom0~Social","Ero0~Inactive","Ero0~Education","Ero0~Work","Ero0~Gym","Ero0~Social","Atr0~AtrZ","Rom0~AtrZ","Rom0~RomZ","Ero0~AtrZ","Ero0~RomZ","Ero0~EroZ","Rom0~Atr0","Ero0~Atr0","Ero0~Rom0","M_Atr_Z~~M_Atr","X_Atr_Z~~X_Atr","F_Atr_Z~~F_Atr","M_Rom_Z~~M_Rom","X_Rom_Z~~X_Rom","F_Rom_Z~~F_Rom","M_Ero_Z~~M_Ero","X_Ero_Z~~X_Ero","F_Ero_Z~~F_Ero","Inactive~~Education","Inactive~~Gym","Inactive~~Work","Inactive~~Social","Education~~Gym","Education~~Work","Education~~Social","Work~~Gym","Gym~~Social","Work~~Social","AtrZ~~Inactive","AtrZ~~Education","AtrZ~~Gym","AtrZ~~Work","AtrZ~~Social","RomZ~~Inactive","RomZ~~Education","RomZ~~Gym","RomZ~~Work","RomZ~~Social","EroZ~~Inactive","EroZ~~Education","EroZ~~Gym","EroZ~~Work","EroZ~~Social","AtrZ~~RomZ","AtrZ~~EroZ","RomZ~~EroZ"
"1",0.0815087987439717,0.0706003743145444,0.0668049828442037,0.0375058233759682,0.0472127354517609,0.0385035874943501,0.0453140338136723,0.0446267597122586,0.0501222976111945,0.0996641353819251,0.0667380022779032,0.0834506509633302,0.0627385034387845,0.0600746818196538,0.0640728468607348,0.10572162154384,0.117388911015385,0.0965491192944989,0.116468692361811,0.155715631052141,0.171917507731262,0.150894415296164,0.355147648795318,0.0743651261044009,0.136185412693362,0.175474943980143,0.122663061510782,0.344354311187218,0.285758123076478,0.2021839493326,0.389152590336653,0.185413372766616,0.761261442991764,0.13302615317886,0.103827469147722,0.106615439848929,0.152494708496138,0.14179744868193,0.153088397829863,0.164343256702745,0.354754148316159,0.204292482051085,0.0610613417040523,0.0802550030660079,0.0557898618633719,0.0573577857630462,0.0775602804850938,0.0566444681678145,0.0608188463975338,0.0558085309522186,0.0621735663368505,0.229149556168971,0.200174796950402,0.143986769286906,0.219834160819144,0.114871035362956,0.101903077181221,0.13263603972574,0.0651890972778552,0.116600779641431,0.099855229468264,0.0752629622500831,0.0983497152302732,0.0734428067679922,0.0700500179806058,0.101636652756355,0.0759574712984398,0.0995667867808119,0.0765957523972588,0.0667656297393357,0.0838863215027512,0.0770093960889075,0.0939319651118654,0.0738129155357381,0.0684074689292627,0.0826038416905561,0.068761201163582,0.0681406956698419,0.0679485598967902
"2",0.0694502563891543,0.0610404444575731,0.0657445889687139,0.0387542262210031,0.0408901082528561,0.0372452767912906,0.0473320476790403,0.0461910730580419,0.0504817857155689,0.0600699788938295,0.0600972184932101,0.0599103808459558,0.0462162477430128,0.043326847278799,0.0425418482368167,0.0615140135369268,0.0714208030559787,0.0598341732716306,0.0900190780009964,0.140504874288925,0.0935382493752184,0.0626537865558365,0.203160892919275,0.0745871828624109,0.129768771998079,0.0783641988704866,0.0658246510865598,0.163779918505335,0.120701334025945,0.207285643218375,0.0928434329840081,0.0880199968564128,0.239223703765042,0.0953144915502345,0.0884119335112221,0.0884112798932217,0.113597362106429,0.110343482991404,0.111858395665774,0.0912009606666256,0.138166175211005,0.102327847381068,0.058797270729423,0.0811754136584879,0.056151921920058,0.0559414670485789,0.0784275380590129,0.0564397459212907,0.0598102993314705,0.0576451313890541,0.0633134661710109,0.220810438548259,0.210812280024742,0.0363093237947724,0.232856128949093,0.1327839362412,0.107119450584191,0.115981352057534,0.0689244864166499,0.119488707131526,0.102394010221538,0.0742496827893836,0.109901048968644,0.079808385741477,0.0704367413400915,0.102556277952525,0.0770992025624211,0.101587558739952,0.0778003774085793,0.0684131928259591,0.0992854664930266,0.0766146484645765,0.103700720886793,0.0773824511930252,0.0697215652681358,0.105603569520713,0.0679309656817642,0.0673894028869452,0.0688174089542523
"3",0.0616122853271478,0.0641365520916612,0.0586829044054224,0.0445002412079287,0.0425152741590185,0.0408164341937851,0.0559640890340523,0.0553495244135466,0.0592508442543889,0.0683212191754867,0.0675292182324391,0.0625473376243229,0.047238301754228,0.0397843125134433,0.0407058819904414,0.0708613915536696,0.0678241367757697,0.063371562299968,0.0925157553636756,0.105058918743466,0.101504395626432,0.0693053496473404,0.159043199423598,0.0691776469177304,0.0981297820245369,0.0905641430778682,0.0593967407902537,0.133548083010003,0.128982040229362,0.143431192455816,0.134070125991306,0.0755340134300038,0.204408480882427,0.092396282852366,0.0878227676114528,0.0948613420832488,0.105444357282734,0.114733416938406,0.102488494016722,0.0906787662235989,0.131054407847675,0.0943930888230961,0.0596775831715679,0.0840246712546166,0.0574290362216013,0.0565544939832067,0.0750248505024537,0.0567786408272077,0.0611493214939356,0.0604132196125309,0.0644428521089261,0.217853545767986,0.199494942595136,0.0450018153936062,0.237744874481553,0.117740271592857,0.104505833214801,0.137832322537496,0.0591529520841615,0.105787087755501,0.0912783451783295,0.0782680158316823,0.110700845804876,0.0759702203466971,0.0716209125251648,0.100292832685373,0.0805271044797691,0.103074725640719,0.0734085630428409,0.0663899669709351,0.0977607824270901,0.0808973960921342,0.107787843349776,0.0747182018138851,0.0722255612145002,0.0987867657226155,0.0688482702485768,0.0706195576638205,0.0673191725162436
"4",0.0783523744117268,0.0658588850392375,0.080220213822783,0.0399441875160129,0.0408368828431288,0.0399666281014006,0.0487295466256989,0.0518256896570552,0.0521269434739691,0.0896106746146143,0.0652033772461008,0.0702475982728924,0.0494407687133791,0.0481745821280484,0.0454125871104766,0.0676685783561057,0.0734520616163302,0.0667456278911296,0.093284292903108,0.158965296568526,0.144504472599599,0.120662199393966,0.247916763334936,0.0582143758836991,0.128969423160223,0.0926421386608856,0.0802664961821728,0.196040610674973,0.139958255725825,0.199398899823164,0.166556666421411,0.133207009710443,0.366200669768566,0.113136561760188,0.0813760239654281,0.0840967168701524,0.121080235520303,0.122019183585507,0.128735534508241,0.104681303560548,0.184848262849635,0.118188526190009,0.0585836927084913,0.0845628694906401,0.0573267962338289,0.057852754583522,0.0755031392353565,0.0579279200714468,0.0587268941818391,0.0580970078167697,0.0625113835586339,0.234564289559431,0.204485132480522,0.149645634543193,0.11659562727548,0.109946142432712,0.0994024219028556,0.119696381256768,0.0609636511717735,0.102777826576158,0.0958962090381753,0.0784107919134283,0.100082127135918,0.073035478629985,0.0724309438327516,0.0962262305240113,0.0774274149298824,0.098956331989949,0.071551696426479,0.0689816146262206,0.0900542001380482,0.0793914535540009,0.0964613948577048,0.0746748157874456,0.07260361710252,0.0879441112864635,0.0705832802575399,0.0682357616680882,0.0682732366602505
"5",0.0816036138311715,0.0726191374503365,0.0682329681261366,0.0453155755494598,0.0365009362531633,0.0387149578036806,0.0512063488525465,0.0507585527029877,0.0549854341479491,0.0681341621973685,0.0563641437717118,0.0562588439981183,0.0469336192303027,0.0439652731458871,0.041314238143337,0.0694346011919396,0.0732654164919208,0.0614044946344594,0.0993445770704948,0.116669621772243,0.0931600149192698,0.0870304707706211,0.167751978388818,0.0587405733948646,0.103897343718974,0.0747406841376037,0.0698573520124429,0.142515616432654,0.134774701597428,0.143915721934078,0.118696607348336,0.10402340271608,0.236173163383707,0.108246790729015,0.0869416460593018,0.0828905868683697,0.116272896170275,0.109925189856322,0.11244629729151,0.0918830840414313,0.144516014454139,0.103723624945667,0.0640480961949803,0.0810122584109095,0.0575369626128268,0.0578466187507061,0.0761741245747849,0.0569468887295432,0.0597321680593229,0.0571544490408532,0.0638641974944971,0.213037211614626,0.208890139506893,0.151677347034008,0.118546661640751,0.124040075216366,0.113102879762995,0.140081621999854,0.0575697481871671,0.107865890557599,0.0975211096590246,0.077104069705722,0.113212337296815,0.0745540253272032,0.0697176483728741,0.091215184924181,0.0800116804344262,0.114421802728875,0.0741888217436645,0.0688181951491162,0.090867716207665,0.081136569741325,0.111702501288421,0.0777802797625141,0.0721373136617829,0.090387311732035,0.0687935566972579,0.0708211136138032,0.0700744704664522
"6",0.0887850370780835,0.0717144779303807,0.0773722953163497,0.0441836403553828,0.0338259414559197,0.0368667900717378,0.0493724911471076,0.0455775361049803,0.0575489556733622,0.073248719408748,0.0630655773741837,0.0633568773772837,0.0496404157800555,0.04838660409136,0.0472642871011715,0.0675496748612418,0.0754381692499569,0.0642090692750729,0.100621788535441,0.225957634933925,0.160333415374839,0.147329241387367,0.337631528989279,0.0687517376676666,0.204429099595909,0.142791627133331,0.12164476277985,0.29103055239026,0.170198174504481,0.311248063201326,0.176579551617979,0.171422157512568,0.394804783036886,0.123926998136452,0.117486426100608,0.0985315715580257,0.167123388749614,0.140901636456471,0.1257911753055,0.107300067717257,0.143333731064691,0.118978589957324,0.0592228109359615,0.0844272425389705,0.0561675912972481,0.0547510033986312,0.0807659810351206,0.0558868423117986,0.061276046537269,0.0566564523019094,0.063616913250187,0.216244510539935,0.212104382093179,0.0409334979659236,0.116484939496783,0.12453466838872,0.108808001027288,0.126758634877157,0.0666954164647988,0.1166996073623,0.0989451126608424,0.0768722131178549,0.108908871756519,0.0781331968800669,0.073179610545097,0.103867666740951,0.0776828110137499,0.103658183987123,0.0750266937932009,0.0696510097495031,0.0906086702808541,0.0784002162878595,0.100262253185953,0.0738265708829404,0.0709573477413218,0.0868586383514117,0.0695662017262209,0.0701596750280671,0.0679512486001093
"7",0.0753096641406901,0.0696087007733972,0.0769113728374177,0.0439145435326386,0.0416259219952179,0.0400535279301501,0.0610281265492078,0.058631959716926,0.0617916128366406,0.0899362519391001,0.0631293894680195,0.0633998164635945,0.0621346946600071,0.0589972305265987,0.0625758565385961,0.0669541966169951,0.0656847262821811,0.0624768100070063,0.0855703072399186,0.14896434939848,0.135970509285562,0.107954024813528,0.207315807993973,0.0862981301881599,0.177957998240613,0.156205598651111,0.131123424348853,0.248238931559409,0.117073900106666,0.211566752256419,0.227957283797888,0.150720828971659,0.362727046749033,0.114357432069162,0.11906680660219,0.110860034135722,0.138615686090392,0.115497037030086,0.128480843907629,0.106912999881955,0.13538819530714,0.138461289143328,0.058724800635896,0.0835720850935367,0.0566189304890866,0.0548883624095836,0.077843741594718,0.0542508610627254,0.0610236913203319,0.0584768655653182,0.0640418455141935,0.22255344649826,0.217243133953748,0.0369240645990205,0.116489959725612,0.120248536271921,0.102864777471201,0.139820847979167,0.0683832597717258,0.114995237830273,0.0965904279886006,0.0792362582430986,0.107923789444361,0.0754861973332677,0.0715448223371608,0.097815419695709,0.0782895267284703,0.104121892964689,0.0758951491370105,0.0667769986475857,0.0863150613644954,0.0798399596282111,0.104018715705449,0.0787696341286234,0.0711618045069463,0.086974903469852,0.0669612319678915,0.0725397749524183,0.0713808863382459
"8",0.0882255737436407,0.0737458610070215,0.0790569977712526,0.0443290284936937,0.0377872059037965,0.0385934721860217,0.0503018612292914,0.0518453997678998,0.0528068131437805,0.117520452551419,0.0698974806789826,0.106214367572095,0.064584485728883,0.0617835914852285,0.064351709510153,0.171589802647821,0.161543107738517,0.144342075455279,0.150095645589882,0.405330250875165,0.268698852232797,0.267991195840749,0.594773950097611,0.107770916880152,0.340595600969198,0.231257414660384,0.223666692581541,0.516663208951645,0.186288632907235,0.795462554561954,0.666284808461951,0.552021619269061,1.50817787158173,0.187981359489639,0.127408090824042,0.10037549172259,0.254634140970245,0.158416770963012,0.159063170539648,0.179382865627907,0.471852871992494,0.284439828515163,0.0589693740124287,0.0815044187523642,0.0573270223875727,0.0537555039933508,0.0751283309672151,0.0580725715337704,0.0599760196726382,0.0586812029006595,0.0646241798167853,0.227888364275368,0.212523564273584,0.0438199719636008,0.123332914648346,0.114876443400444,0.0996161651495952,0.122103859865273,0.0698625164578479,0.113605471569434,0.108347415184466,0.0772445301897574,0.110419852386495,0.0778608351402648,0.0715650144855754,0.101096811156171,0.0759306343948148,0.098427238453461,0.0755651614486388,0.0676345264209324,0.0864612082595848,0.0778943022108671,0.0958377721980722,0.0748699712161851,0.0704220320258391,0.0866024959998515,0.0710384578671344,0.0729651884681444,0.0701789164685025
"9",0.0684421025777714,0.0632972601440569,0.0658755178917674,0.0425260701427924,0.0391753044673988,0.0362480051702478,0.0509624875815798,0.0511657303472636,0.0543767259641758,0.0685084866172488,0.0589578627897363,0.0645867834408096,0.0514444878655432,0.0442121027882418,0.0455815550120204,0.0574405638143311,0.0572482866331725,0.0563987931926923,0.09734698666046,0.142205536668238,0.109947443958512,0.103873570889913,0.234654871294531,0.0706786076131881,0.122081683907708,0.113359735185172,0.0755370490712938,0.215834435160866,0.104219805055578,0.146448818564675,0.137440337465971,0.0961018893035235,0.301085683144518,0.114138303274037,0.101076507350641,0.0916795212337382,0.112172856552761,0.0968369564860132,0.103263393984943,0.103317084473076,0.132003092292432,0.0933239937583384,0.0572028183933362,0.0793160478844674,0.0566323065249817,0.0558768578781497,0.0693247559528641,0.0547410412557734,0.0592058696008719,0.058373773947177,0.0622686503891767,0.221621377188275,0.203365804477709,0.0396318921885013,0.228689990584241,0.126240598644722,0.109835680464465,0.12807153974694,0.0631676193973916,0.106533145683241,0.0946560196157266,0.0766985828967848,0.10916895316947,0.0760706837832308,0.072209211936477,0.0912864330608058,0.0793573230256473,0.107572683619244,0.0743727352728713,0.0664797309416488,0.0893233587194588,0.0758349181542767,0.106536635644885,0.0750641787380796,0.0708021149220311,0.0925565691472367,0.0702253590123816,0.0710241677931621,0.069565910864091
"10",0.0770434111479385,0.0690915562138212,0.0766904846074228,0.047631918087663,0.0388937188044704,0.0411993137814366,0.048699284942273,0.0477136981727944,0.0535718667275603,0.0600204996987073,0.0592560276645061,0.0508983233497546,0.0695290898969268,0.0647125501158213,0.0707686542609413,0.0560818618801511,0.0586137103550526,0.054663334859517,0.113996213167735,0.237207290253501,0.14165215296429,0.129683745840136,0.294235521484381,0.14186116955406,0.381920398475081,0.243822452736836,0.177594544295752,0.49459082576203,0.159546096226133,0.561627932250765,0.337188892173118,0.25369439026489,0.782405784744049,0.132150614886979,0.173551663360051,0.14193821841311,0.19229234591726,0.114842423585931,0.187099719223093,0.112595563536634,0.116964749360365,0.157694646678489,0.0604202750437517,0.0785238221054896,0.0590052758857355,0.0564108948493273,0.0796131984284999,0.0552090443961409,0.0580241201121336,0.0574716581786148,0.0628612752295328,0.234734894447793,0.225515838775263,0.0418411262913299,0.110517663582762,0.111173966361478,0.0989829168487452,0.109456318150194,0.0651933029697304,0.0977928863098253,0.0914714362686907,0.0794443144609181,0.100866500978155,0.0776115205714616,0.0730208585196005,0.0963026696934548,0.0779853851087789,0.09885566807837,0.0734666071301491,0.0677073693081399,0.0868970337270098,0.079007156849355,0.0932499912807975,0.0733984143588741,0.0702719370123539,0.0863268757831696,0.071379892392713,0.0702937627031465,0.0692108263019718
