"","type","cov.M_Ero","cov.X_Ero","cov.F_Ero","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social"
"M_Ero","raw",3.22850896017357e-09,1.8895879999592e-09,-1.75576207739336e-09,3.39181144975997e-10,-9.81145026335284e-11,-1.63511981732256e-11,-3.86874829047534e-11,-1.25011289514587e-10
"X_Ero","raw",1.88958801383698e-09,1.53458024065856e-09,-1.34741978685682e-09,2.80221432863437e-10,-7.99897752201684e-11,3.71405805416058e-11,-2.65044930447544e-12,-1.51869492676093e-10
"F_Ero","raw",-1.75576209127115e-09,-1.34741977297903e-09,-2.92759674835885e-09,4.24374715923825e-10,-1.50174823965177e-10,4.60631290055691e-11,-1.26595470217872e-11,-2.41377955817468e-10
"Inactive","raw",3.39181144975997e-10,2.80221432863437e-10,4.24374715923825e-10,6.89888535188032e-10,-2.3185827910388e-10,-1.29508573309955e-09,2.53542180306265e-10,-9.63901149869661e-10
"Education","raw",-9.81145026335284e-11,-7.99897752201684e-11,-1.50174823965177e-10,-2.3185827910388e-10,-1.72146047416888e-10,2.2933432930472e-10,-9.19113616812406e-10,6.01930925242522e-10
"Work","raw",-1.63511981732256e-11,3.71405805416058e-11,4.60631290055691e-11,-1.29508573309955e-09,2.2933432930472e-10,7.63890839472481e-10,3.90486400159151e-10,-1.54462153310886e-09
"Gym","raw",-3.86874829047534e-11,-2.65044930447544e-12,-1.26595470217872e-11,2.53542180306265e-10,-9.19113616812406e-10,3.90486400159151e-10,1.22344995245882e-10,1.46594174993409e-09
"Social","raw",-1.25011289514587e-10,-1.51869492676093e-10,-2.41377955817468e-10,-9.63901149869661e-10,6.01930925242522e-10,-1.54462153310886e-09,1.46594174993409e-09,4.12650885683874e-10
