"","type","cov.M","cov.X","cov.F","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social"
"M","raw",1.19882528903936e-09,5.51835785400634e-10,-2.45635761730867e-10,1.06378785771563e-10,7.57336613939948e-11,-2.12429955570581e-10,7.60787682851927e-11,8.64206275985602e-11
"X","raw",5.51835792339528e-10,8.26069157522369e-10,1.21494690002999e-09,4.32039944184975e-11,5.1837655695719e-11,-1.23300588489306e-11,-2.09085921319685e-11,2.86917685790589e-11
"F","raw",-2.45635747853079e-10,1.21494690696888e-09,8.22752532769755e-10,-3.77557898140202e-11,1.46753133083155e-10,-1.2104626849474e-10,7.01535010638743e-12,4.52430263392367e-11
"Inactive","raw",1.06378785771563e-10,4.32039944184975e-11,-3.77557898140202e-11,-4.12927025905674e-10,2.05854468887656e-10,-4.88171641999102e-10,2.87865169201762e-10,5.03567361420654e-10
"Education","raw",7.57336613939948e-11,5.1837655695719e-11,1.46753133083155e-10,2.05854468887656e-10,-8.76496625279444e-10,-2.51753857344328e-10,7.39542324948439e-10,-2.00745575544559e-10
"Work","raw",-2.12429955570581e-10,-1.23300588489306e-11,-1.2104626849474e-10,-4.88171641999102e-10,-2.51753857344328e-10,6.59528126556452e-10,-7.45551807790346e-10,-3.09199115963721e-10
"Gym","raw",7.60787682851927e-11,-2.09085921319685e-11,7.01535010638743e-12,2.87865169201762e-10,7.39542324948439e-10,-7.45551807790346e-10,5.34441102484351e-11,1.4613684047593e-10
"Social","raw",8.64206275985602e-11,2.86917685790589e-11,4.52430263392367e-11,5.03567361420654e-10,-2.00745575544559e-10,-3.09199115963721e-10,1.4613684047593e-10,1.64711924655059e-10
