"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","AtrZ","=~","M_Atr_Z","eMA",0.910135908414299,0.0335709895614448,27.1107858393177,0,0.844337977948497,0.975933838880101
"2","AtrZ","=~","X_Atr_Z","eXA",0.466489053472641,0.0316881391297694,14.7212511142505,0,0.404381442041199,0.528596664904084
"3","AtrZ","=~","F_Atr_Z","eFA",0.800617904841003,0.0308343555492283,25.9651252825046,0,0.740183678478013,0.861052131203993
"4","RomZ","=~","M_Rom_Z","eMF",0.859172535607158,0.022486270142911,38.208761619722,0,0.815100255980414,0.903244815233902
"5","RomZ","=~","X_Rom_Z","eXF",0.859669595549756,0.0205285786250957,41.8767227507331,0,0.819434320790769,0.899904870308742
"6","RomZ","=~","F_Rom_Z","eFF",0.903732355961346,0.0204504461250424,44.1913271933314,0,0.863650218088486,0.943814493834206
"7","EroZ","=~","M_Ero_Z","eML",0.821916159640953,0.0245217800095321,33.5178016979787,0,0.773854353985456,0.86997796529645
"8","EroZ","=~","X_Ero_Z","eXL",0.850183783397799,0.0253914843590677,33.4830280646505,0,0.800417388540014,0.899950178255583
"9","EroZ","=~","F_Ero_Z","eFL",0.721564731255659,0.0266445615659321,27.0811260853417,0,0.669342350202572,0.773787112308746
"10","Atr0","=~","M_Atr","eMA",0.910135908414299,0.0335709895614447,27.1107858393178,0,0.844337977948498,0.975933838880101
"11","Atr0","=~","X_Atr","eXA",0.466489053472641,0.0316881391297695,14.7212511142504,0,0.404381442041199,0.528596664904084
"12","Atr0","=~","F_Atr","eFA",0.800617904841003,0.0308343555492283,25.9651252825046,0,0.740183678478013,0.861052131203994
"13","Rom0","=~","M_Rom","eMF",0.859172535607158,0.0224862701429111,38.2087616197218,0,0.815100255980414,0.903244815233902
"14","Rom0","=~","X_Rom","eXF",0.859669595549756,0.0205285786250956,41.8767227507332,0,0.81943432079077,0.899904870308742
"15","Rom0","=~","F_Rom","eFF",0.903732355961346,0.0204504461250426,44.191327193331,0,0.863650218088486,0.943814493834206
"16","Ero0","=~","M_Ero","eML",0.821916159640953,0.0245217800095321,33.5178016979786,0,0.773854353985456,0.869977965296451
"17","Ero0","=~","X_Ero","eXL",0.850183783397799,0.0253914843590678,33.4830280646504,0,0.800417388540014,0.899950178255584
"18","Ero0","=~","F_Ero","eFL",0.721564731255659,0.026644561565932,27.0811260853419,0,0.669342350202572,0.773787112308746
"19","Atr0","~","Inactive","",-3.21687342309732,1.06047557507377,-3.03342528456965,0.00241794577797649,-5.29536735672631,-1.13837948946832
"20","Atr0","~","Education","",-0.774178398373767,0.405442174695067,-1.90946686529596,0.0562018922118175,-1.56883045858969,0.02047366184216
"21","Atr0","~","Work","",-3.29896076384724,1.13537510650063,-2.90561308325235,0.00366534376778938,-5.5242550815318,-1.07366644616269
"22","Atr0","~","Gym","",-1.22837226637142,0.590838667872132,-2.07903160907752,0.0376144452718776,-2.38639477607442,-0.0703497566684184
"23","Atr0","~","Social","",-0.63121236280972,0.580579058206017,-1.08721173092285,0.27694324760197,-1.7691264070717,0.506701681452257
"24","Rom0","~","Inactive","",-1.30850860512912,0.535400910743197,-2.44397904238294,0.0145262703456068,-2.35787510747573,-0.259142102782505
"25","Rom0","~","Education","",-0.616477076850934,0.266157527596337,-2.31621131447352,0.0205467337203338,-1.13813624515398,-0.0948179085478882
"26","Rom0","~","Work","",-1.7133081390893,0.630391071165009,-2.71784962931499,0.00657076927562206,-2.94885193474834,-0.477764343430257
"27","Rom0","~","Gym","",-0.870314511894218,0.345801137363249,-2.51680638915884,0.0118423884823615,-1.54807228693917,-0.192556736849262
"28","Rom0","~","Social","",-0.434229348469121,0.295126520045271,-1.47133286565542,0.14120111933677,-1.01266669864049,0.144208001702249
"29","Ero0","~","Inactive","",3.09148483224381,0.979277155582023,3.15690488093375,0.00159453351016636,1.17213687642022,5.0108327880674
"30","Ero0","~","Education","",0.423852375922485,0.381059346521718,1.1123001700165,0.266009110810447,-0.323010219232451,1.17071497107742
"31","Ero0","~","Work","",2.98159651927984,1.03467951327119,2.88166188760553,0.003955839663486,0.953661937726871,5.00953110083282
"32","Ero0","~","Gym","",1.33098679682604,0.542608157086707,2.45294284548206,0.0141692849965616,0.267494351218444,2.39447924243364
"33","Ero0","~","Social","",0.808233743202148,0.549392492143525,1.47114085969526,0.141253026983239,-0.268555754775866,1.88502324118016
"34","Atr0","~","AtrZ","",-0.0900862025258018,0.164134026955141,-0.548857565959939,0.583103201102629,-0.411782983995405,0.231610578943801
"35","Rom0","~","AtrZ","",-0.163472819194957,0.0968331992779975,-1.68818979868304,0.0913748008430157,-0.353262402287622,0.026316763897708
"36","Rom0","~","RomZ","",0.232617549703896,0.073417962376518,3.16840105846217,0.0015327991178673,0.0887209876276037,0.376514111780187
"37","Ero0","~","AtrZ","",0.112671142908017,0.154729371714129,0.728181997120646,0.466502184740221,-0.190592853002186,0.415935138818221
"38","Ero0","~","RomZ","",0.191146312265175,0.087837034309922,2.176147154408,0.0295442589333854,0.0189888885089186,0.363303736021431
"39","Ero0","~","EroZ","",0.163389796476309,0.0734178270632292,2.22547851131025,0.0260491321235921,0.0194934996091897,0.307286093343428
"40","Rom0","~","Atr0","",0.471343836588538,0.111457196672769,4.22892240841454,2.34813305755033e-05,0.252891745292114,0.689795927884963
"41","Ero0","~","Atr0","",0.0986506334598358,0.0834447762321973,1.18222659241516,0.237115803765517,-0.0648981226532747,0.262199389572946
"42","Ero0","~","Rom0","",-0.180207259161418,0.111490684721427,-1.61634363993448,0.106020036489749,-0.398724985827124,0.0383104675042883
"43","M_Atr_Z","~~","M_Atr","",0.0120283688545977,0.0399422860099489,0.301143726515845,0.763304898749609,-0.0662570731851003,0.0903138108942957
"44","X_Atr_Z","~~","X_Atr","",0.113744504793975,0.054530248091607,2.08589743811346,0.0369879144133076,0.00686718246639079,0.220621827121558
"45","F_Atr_Z","~~","F_Atr","",0.0765351394383413,0.0378011746241028,2.02467622235053,0.042900621750928,0.00244619860179042,0.150624080274892
"46","M_Rom_Z","~~","M_Rom","",0.0863264324741279,0.0379607671289222,2.27409609982186,0.022960209152143,0.0119246960759284,0.160728168872327
"47","X_Rom_Z","~~","X_Rom","",-0.0338622045730442,0.0516271190018485,-0.655899558753836,0.511888752140708,-0.135049498442231,0.0673250892961423
"48","F_Rom_Z","~~","F_Rom","",0.139612535718346,0.0373688469101136,3.73606753385159,0.00018692048717428,0.0663709416307322,0.212854129805959
"49","M_Ero_Z","~~","M_Ero","",0.0498439280263514,0.0400702189128175,1.2439145424885,0.213531016518531,-0.0286922578954067,0.128380113948109
