"","type","cov.M_Atr","cov.X_Atr","cov.F_Atr","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social"
"M_Atr","raw",-8.64600058214648e-11,-6.96168241109962e-10,-6.72592148642792e-10,4.49618120512696e-12,-9.60333878391451e-11,-3.67009031672361e-10,2.00582519344072e-10,8.98154953188346e-11
"X_Atr","raw",-6.96168241109962e-10,3.60559526679793e-10,-5.55564080850779e-10,8.54010282630435e-11,-6.08524333353677e-11,-3.33947014138913e-10,5.89583295379503e-11,7.31006088994235e-11
"F_Atr","raw",-6.72592148642792e-10,-5.55564073911885e-10,-4.69600552888139e-10,7.89958376490318e-12,-1.56088085165318e-10,-2.54203586999568e-10,2.17113063638585e-10,-7.85807408726358e-11
"Inactive","raw",4.49618120512696e-12,8.54010282630435e-11,7.89958376490318e-12,4.31086444319106e-10,2.52054682681191e-10,4.67491462208258e-10,-6.58929306951439e-10,2.99151863003555e-10
"Education","raw",-9.60333878391451e-11,-6.08524333353677e-11,-1.56088085165318e-10,2.52054682681191e-10,-2.53814719242129e-10,-6.18865798884816e-10,2.91075913372296e-11,-1.08332199114103e-10
"Work","raw",-3.67009031672361e-10,-3.33947014138913e-10,-2.54203586999568e-10,4.67491462208258e-10,-6.18865798884816e-10,4.72090144754134e-11,3.78931996891652e-10,-1.11573279261423e-09
"Gym","raw",2.00582519344072e-10,5.89583295379503e-11,2.17113063638585e-10,-6.58929306951439e-10,2.91075913372296e-11,3.78931996891652e-10,5.82612791344417e-10,1.33859374973344e-10
"Social","raw",8.98154953188346e-11,7.31006088994235e-11,-7.85807408726358e-11,2.99151863003555e-10,-1.08332199114103e-10,-1.11573279261423e-09,1.33859374973344e-10,4.31384927779277e-10
