"","type","cov.M_Atr","cov.M_Rom","cov.M_Ero","cov.X_Atr","cov.X_Rom","cov.F_Ero","cov.F_Atr","mean","th"
"M_Atr","raw",0,-0.0107130394215637,-0.00181797562045441,0.137125271063158,-0.456585644306075,-0.218239061575298,0.132420783570422,0,0
"M_Rom","raw",-0.0107130394215637,0,0.0290941420602256,-0.12168299456818,0.243604471915993,-0.0805650836918607,-0.360117694806349,0,0
"M_Ero","raw",-0.00181797562045441,0.0290941420602256,0,-0.155433672180867,-0.167883074572989,0.416345924801891,-0.188188238401668,0,0
"X_Atr","raw",0.137125271063158,-0.12168299456818,-0.155433672180867,0,0.035511574611502,-0.0702395146301271,2.93576352300429e-06,0,0
"X_Rom","raw",-0.456585644306075,0.243604471915993,-0.167883074572989,0.035511574611502,0,0.0103143130365557,-1.31775659165112e-06,0,0
"F_Ero","raw",-0.218239061575298,-0.0805650836918607,0.416345924801891,-0.0702395146301271,0.0103143130365557,0,1.10674919087672e-06,0,0
"F_Atr","raw",0.132420783570422,-0.360117694806349,-0.188188238401668,2.9357635230598e-06,-1.31775659156785e-06,1.10674919087672e-06,0,0,0
