"","type","cov.M_Atr","cov.X_Atr","cov.F_Atr","cov.M_Rom","cov.X_Rom","cov.F_Rom","cov.M_Ero","cov.X_Ero","cov.F_Ero","mean","th"
"M_Atr","raw",0,-0.015629549580242,-0.00513939329079161,0.0982352771433964,-0.0478095515735405,0.0120392985316402,0.0493646773038652,-0.0275031374728659,0.00767573620658633,0,0
"X_Atr","raw",-0.015629549580242,0,0.0483658004511177,0.0210819466250593,0.00887345963173818,-0.0376753643770466,-0.0841140820659099,-0.110999391881248,-0.0792928652998107,0,0
"F_Atr","raw",-0.00513939329079161,0.0483658004511177,0,-0.0122200709190054,-0.0240329075676807,-0.0708771013644297,-0.0125522066034997,0.00190714701345467,0.115125199171012,0,0
"M_Rom","raw",0.0982352771433964,0.0210819466250593,-0.0122200709190054,0,-0.00447166168180912,-0.00734976381902941,0.0262699099753405,-0.0493443355264347,0.0683656226286434,0,0
"X_Rom","raw",-0.0478095515735405,0.00887345963173818,-0.0240329075676807,-0.00447166168180912,0,0.0111332997612362,-0.0416430595421955,-0.0281210292581604,-0.0307797721666512,0,0
"F_Rom","raw",0.0120392985316402,-0.0376753643770466,-0.0708771013644297,-0.00734976381902941,0.0111332997612362,0,-0.00940715666275677,-0.0112822896031118,0.0634781862091277,0,0
"M_Ero","raw",0.0493646773038652,-0.0841140820659099,-0.0125522066034997,0.0262699099753405,-0.0416430595421955,-0.00940715666275677,0,0.0098696326163582,-0.0187140799571942,0,0
"X_Ero","raw",-0.0275031374728659,-0.110999391881248,0.00190714701345467,-0.0493443355264347,-0.0281210292581604,-0.0112822896031118,0.0098696326163582,0,-0.000972797094158873,0,0
"F_Ero","raw",0.00767573620658633,-0.0792928652998107,0.115125199171012,0.0683656226286434,-0.0307797721666512,0.0634781862091277,-0.0187140799571942,-0.000972797094158873,0,0,0
