"","type","cov.M_Rom","cov.X_Rom","cov.F_Rom","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social"
"M_Rom","raw",-2.29823812758490e-09,3.61854389507865e-09,-1.53286841553246e-10,-4.95069567806039e-10,-4.37441177031372e-11,1.32096738061915e-09,-5.58534178976555e-10,-2.09086659444524e-10
"X_Rom","raw",3.61854388120086e-09,-2.77411763005553e-09,-2.00231414781982e-10,-1.9887618982195e-10,1.81388632412849e-11,4.47278743556656e-10,-2.1851024115116e-10,-1.03197708625075e-10
"F_Rom","raw",-1.53286841553246e-10,-2.00231414781982e-10,2.10020467683592e-09,-3.77240421192693e-10,-2.42186002155642e-12,1.26745705250619e-09,-4.49407322120066e-10,-3.5987825214431e-11
"Inactive","raw",-4.95069567806039e-10,-1.9887618982195e-10,-3.77240421192693e-10,-1.00945390935081e-09,-8.21980053467009e-11,4.87771947832449e-09,-2.6422883117605e-09,-3.07988076014842e-10
"Education","raw",-4.37441177031372e-11,1.81388632412849e-11,-2.42186002155642e-12,-8.21980053467009e-11,2.08246360433595e-09,6.39646256100912e-10,-4.89959706487242e-10,-1.16311566628058e-09
"Work","raw",1.32096738061915e-09,4.47278743556656e-10,1.26745705250619e-09,4.87771947832449e-09,6.39646256100912e-10,-1.16112760795151e-08,8.15721402230851e-09,-1.25670705959646e-09
"Gym","raw",-5.58534178976555e-10,-2.1851024115116e-10,-4.49407322120066e-10,-2.6422883117605e-09,-4.89959706487242e-10,8.15721402230851e-09,-2.48020118331915e-09,1.28205078150923e-09
"Social","raw",-2.09086659444524e-10,-1.03197708625075e-10,-3.5987825214431e-11,-3.07988076014842e-10,-1.16311566628058e-09,-1.25670705959646e-09,1.28205078150923e-09,-2.23252888398306e-09
